,0
HP:0000118 | Phenotypic abnormality,1
HP:0002099 | Asthma,2
HP:0002793 | Abnormal pattern of respiration,1
HP:0004347 | Weakness of muscles of respiration,2
HP:0030878 | Abnormality on pulmonary function testing,1
HP:0030829 | Abnormal breath sound,1
HP:0033036 | Decreased nasal nitric oxide,1
HP:0025008 | Tracheal tug on inspiration,1
HP:0002835 | Aspiration,1
HP:0032933 | Airway hyperresponsiveness,1
HP:0002093 | Respiratory insufficiency,1
HP:0002087 | Abnormality of the upper respiratory tract,1
HP:0005607 | Abnormal tracheobronchial morphology,1
HP:0002088 | Abnormal lung morphology,1
HP:0032016 | Abnormal sputum,1
HP:0012253 | Abnormal respiratory epithelium morphology,1
HP:0031983 | Abnormal pulmonary thoracic imaging finding,1
HP:0004324 | Increased body weight,1
HP:0031818 | Abnormal waist to hip ratio,1
HP:0045081 | Abnormality of body mass index,1
HP:0033170 | Abnormal skinfold thickness measurement,1
HP:0004325 | Decreased body weight,1
HP:0011620 | Abnormality of abdominal situs,2
HP:0031853 | Isomerism,1
HP:0000823 | Delayed puberty,2
HP:0004322 | Short stature,2
HP:0008897 | Postnatal growth retardation,1
HP:0031087 | Absent pubertal growth spurt,1
HP:0001511 | Intrauterine growth retardation,1
HP:0100560 | Upper limb asymmetry,2
HP:0100559 | Lower limb asymmetry,2
HP:0100556 | Hemiatrophy,2
HP:0000098 | Tall stature,1
HP:0012772 | Abnormal upper to lower segment ratio,1
HP:0010974 | Abnormal myeloid leukocyte morphology,1
HP:0011893 | Abnormal leukocyte count,1
HP:0004332 | Abnormal lymphocyte morphology,1
HP:0001909 | Leukemia,2
HP:0000421 | Epistaxis,2
HP:0003010 | Prolonged bleeding time,1
HP:0011884 | Abnormal umbilical stump bleeding,1
HP:0030139 | Excessive bleeding after a venipuncture,1
HP:0011888 | Bleeding requiring red cell transfusion,1
HP:0001934 | Persistent bleeding after trauma,1
HP:0000132 | Menorrhagia,2
HP:0001933 | Subcutaneous hemorrhage,2
HP:0000225 | Gingival bleeding,2
HP:0012541 | Cephalohematoma,2
HP:0030138 | Excessive bleeding from superficial cuts,1
HP:0034263 | Abnormal vaginal bleeding,2
HP:0040231 | Abnormal onset of bleeding,1
HP:0011889 | Bleeding with minor or no trauma,1
HP:0011029 | Internal hemorrhage,2
HP:0030140 | Oral cavity bleeding,2
HP:0011890 | Prolonged bleeding following procedure,1
HP:0034483 | Bone marrow vacuolated lymphocytes,1
HP:0012143 | Abnormal megakaryocyte morphology,1
HP:0020048 | Reduced bone-marrow pro-B cell count,1
HP:0012145 | Abnormality of multiple cell lineages in the bone marrow,1
HP:0033606 | Bone marrow maturation arrest,1
HP:0012129 | Abnormality of bone marrow stromal cells,1
HP:0012135 | Abnormal granulocytopoietic cell morphology,1
HP:0034499 | Increased bone marrow iron,1
HP:0001907 | Thromboembolism,1
HP:0004420 | Arterial thrombosis,1
HP:0002641 | Peripheral thrombosis,1
HP:0004936 | Venous thrombosis,1
HP:0005521 | Disseminated intravascular coagulation,1
HP:0005502 | Increased red cell osmotic fragility,1
HP:0004825 | Increased hemoglobin oxygen affinity,1
HP:0005546 | Increased red cell osmotic resistance,1
HP:0030272 | Abnormal erythrocyte enzyme level,2
HP:0020061 | Abnormal hemoglobin concentration,1
HP:0031965 | Increased RBC distribution width,1
HP:0012134 | Dysplastic erythropoesis,1
HP:0020058 | Abnormal red blood cell count,1
HP:0012131 | Abnormal number of erythroid precursors,1
HP:0011273 | Anisocytosis,1
HP:0001901 | Polycythemia,1
HP:0031898 | Rouleaux formation,1
HP:0001903 | Anemia,1
HP:0010970 | Blood group antigen abnormality,1
HP:0011902 | Abnormal hemoglobin,1
HP:0004447 | Poikilocytosis,1
HP:0004312 | Abnormal reticulocyte morphology,1
HP:0025065 | Abnormal mean corpuscular volume,1
HP:0032519 | Increased Burr cell count,1
"HP:0030271 | Reduced erythrocyte 2,3-diphosphoglycerate concentration",1
HP:0020080 | Erythrocyte inclusion bodies,1
HP:0033281 | Circulating nucleated red blood cells,1
HP:0031850 | Abnormal hematocrit,1
HP:0025546 | Abnormal mean corpuscular hemoglobin concentration,1
HP:0031409 | Abnormal lymphocyte physiology,2
HP:0033797 | Leukocyte migration defect,1
HP:0040224 | Abnormality of fibrinolysis,1
HP:0020193 | Prolonged reptilase time,1
HP:0100724 | Hypercoagulability,1
HP:0003256 | Abnormality of the coagulation cascade,1
HP:0005542 | Prolonged whole-blood clotting time,1
HP:0003645 | Prolonged partial thromboplastin time,1
HP:0012130 | Abnormal erythroid lineage cell morphology,1
HP:0006782 | Malignant eosinophil proliferation,1
HP:0006775 | Multiple myeloma,1
HP:0011857 | Plasmacytoma,1
HP:0005523 | Lymphoproliferative disorder,1
HP:0002665 | Lymphoma,1
HP:0002863 | Myelodysplasia,1
HP:0011875 | Abnormal platelet morphology,1
HP:0011869 | Abnormal platelet function,1
HP:0100721 | Mediastinal lymphadenopathy,2
HP:0034501 | Widened mediastinum,1
HP:0025421 | Pneumomediastinum,1
HP:0034502 | Narrow mediastinum,1
HP:0001743 | Abnormality of the spleen,2
HP:0100764 | Lymphangioma,2
HP:0100766 | Abnormal lymphatic vessel morphology,2
HP:0100765 | Abnormality of the tonsils,1
HP:0006529 | Abnormal pulmonary lymphatics,2
HP:0002733 | Abnormality of the lymph nodes,1
HP:0002958 | Immune dysregulation,1
HP:0031383 | Abnormal lymphocyte surface marker expression,1
HP:0100326 | Immunologic hypersensitivity,1
HP:0011111 | Abnormality of immune serum protein physiology,1
HP:0031404 | Impaired antigen-specific response,1
HP:0012647 | Abnormal inflammatory response,1
HP:0005368 | Abnormality of humoral immunity,1
HP:0010977 | Abnormal phagocytosis,1
HP:0032101 | Unusual infection,1
HP:0002960 | Autoimmunity,1
HP:0002721 | Immunodeficiency,1
HP:0100806 | Sepsis,1
HP:0031389 | Abnormal MHC II surface expression,1
HP:0025615 | Abscess,1
HP:0032252 | Granuloma,1
HP:0010987 | Abnormal cellular immune system morphology,1
HP:0012614 | Abnormal urine cytology,1
HP:0020074 | Crystalluria,1
HP:0032943 | Abnormal urine pH,1
HP:0003529 | Parathormone-independent increased renal tubular calcium reabsorption,1
HP:0012461 | Bacteriuria,1
HP:0033358 | Abnormal urine osmolality,1
HP:0012591 | Abnormal urinary electrolyte concentration,1
HP:0033354 | Abnormal urine metabolite level,1
HP:0003456 | Low urinary cyclic AMP response to PTH administration,1
HP:0033072 | Abnormal macroscopic urine appearance,1
HP:0025640 | Abnormal urinary mineral level,1
HP:0031877 | Elevated hepcidin level,2
HP:0100530 | Abnormal calcium-phosphate regulating hormone level,2
HP:0003565 | Elevated erythrocyte sedimentation rate,2
HP:0003281 | Increased circulating ferritin concentration,2
HP:0033332 | Elevated circulating amyloid A,2
HP:0011227 | Elevated circulating C-reactive protein concentration,2
HP:0020071 | Viremia,1
HP:0031864 | Bacteremia,1
HP:0410073 | Increased level of ribose in CSF,1
HP:0410075 | Increased level of xylitol in CSF,1
HP:0009709 | Increased CSF interferon alpha,1
HP:0034455 | Increased CSF taurine concentration,1
HP:0031884 | Abnormal CSF glucose concentration,1
HP:0040207 | Abnormal CSF biopterin concentration,1
HP:0012654 | Abnormal CSF dopamine concentration,1
HP:0032274 | Increased CSF N-acetylaspartic acid concentration,1
HP:0034200 | Abnormal CSF homovanillic acid concentration,1
HP:0034460 | Increased CSF uracil concentration,1
HP:0012446 | Decreased CSF 5-methyltetrahydrofolate concentration,2
HP:0500183 | Abnormal CSF carboxylic acid concentration,1
HP:0040203 | Abnormal CSF neopterin concentration,1
HP:0034462 | Increased CSF L-alloisoleucine concentration,1
HP:0410058 | Increased level of D-threitol in CSF,1
HP:0410056 | Decreased CSF erythritol concentration,1
HP:0030085 | Abnormal CSF lactate concentration,1
HP:0410071 | Increased level of ribitol in CSF,1
HP:0025455 | Decreased CSF 5-hydroxyindolacetic acid concentration,1
HP:0500117 | Abnormal CSF urate concentration,1
HP:0033503 | Elevated CSF fumarate concentration,1
HP:0004915 | Impairment of galactose metabolism,1
HP:0012345 | Abnormal glycosylation,1
HP:0100508 | Abnormality of vitamin metabolism,1
HP:0004337 | Abnormality of amino acid metabolism,1
HP:0011033 | Impairment of fructose metabolism,1
HP:0410175 | Hyperketonemia,1
HP:0001993 | Ketoacidosis,2
HP:0004370 | Abnormality of temperature regulation,1
HP:0012338 | Abnormal energy expenditure,1
HP:0004360 | Abnormality of acid-base homeostasis,1
HP:0012537 | Food intolerance,1
HP:0011014 | Abnormal glucose homeostasis,1
HP:0011032 | Abnormality of fluid regulation,1
HP:0003142 | Excessive purine production,1
HP:0040127 | Abnormal sweat homeostasis,1
HP:0010637 | Conjunctival amyloidosis,2
HP:0001917 | Renal amyloidosis,2
HP:0011970 | Cerebral amyloid angiopathy,1
HP:0003216 | Generalized amyloid deposition,1
HP:0030843 | Cardiac amyloidosis,2
HP:0100292 | Amyloidosis of peripheral nerves,2
HP:0012309 | Cutaneous amyloidosis,1
HP:0033247 | Pulmonary amyloidosis,2
HP:0012280 | Hepatic amyloidosis,2
HP:4000041 | AA amyloidosis,1
HP:0005982 | Reduced phenylalanine hydroxylase level,1
HP:0033168 | Reduced mevalonate kinase activity,1
HP:0034407 | Reduced circulating 3-ketoacyl-CoA thiolase concentration,1
HP:0003656 | Decreased beta-glucocerebrosidase level,1
HP:0031205 | Reduced lysosomal acid lipase activity,1
HP:0003524 | Decreased methionine synthase activity,1
HP:0034202 | Abnormal iduronate sulfatase concentration,1
HP:0003258 | Glyoxalase deficiency,1
HP:0004358 | Abnormality of superoxide metabolism,1
HP:0034053 | Decreased acid ceramidase activity,1
HP:0033477 | Abnormal circulating lipoprotein lipase concentration,1
HP:0003533 | Reduced acetaldehyde dehydrogenase level,1
HP:0003267 | Reduced orotidine 5-prime phosphate decarboxylase level,1
HP:0033182 | Increased circulating cathepsin D level,1
HP:0003637 | Reduced 4-Hydroxyphenylpyruvate dioxygenase level,1
HP:0032530 | Decreased succinic semialdehyde dehydrogenase level,1
HP:0034444 | Abnormal gamma-glutamyltransferase level,1
HP:0003643 | Sulfite oxidase deficiency,1
HP:0003353 | Propionyl-CoA carboxylase deficiency,1
HP:0033978 | Reduced beta-hexosaminidase activity,1
HP:0100950 | Decreased 3-hydroxyacyl-CoA dehydrogenase level,2
HP:0410192 | Abnormal uridine diphosphate glucose-4-epimerase level,1
HP:0033597 | Decreased mucosal sucrase-isomaltase activity,1
HP:0003349 | Low cholesterol esterification rate,1
HP:0003534 | Reduced xanthine dehydrogenase level,1
HP:0012400 | Abnormal aldolase level,1
HP:0025130 | Decreased small intestinal mucosa lactase level,2
HP:0031835 | Abnormal superoxide dismutase level,1
HP:0034322 | Reduced galactocerebrosidase activity,1
HP:0040142 | Reduced 5-oxoprolinase level,1
HP:0003649 | Abnormality of glycoside metabolism,1
HP:0012380 | Reduced carnitine O-palmitoyltransferase level,1
HP:0003655 | Reduced level of N-acetylglucosaminyltransferase II,1
HP:0002932 | Aldehyde oxidase deficiency,1
HP:0034300 | Decreased acid sphingomyelinase activity,1
HP:0003343 | Reduced glutathione synthetase level,1
HP:0003654 | Reduced dihydropyrimidine dehydrogenase level,1
HP:0003570 | Molybdenum cofactor deficiency,1
HP:0031821 | Abnormal hypoxanthine-guanine phosphoribosyltransferase level,1
HP:0410349 | Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase level,1
HP:0000816 | Abnormality of Krebs cycle metabolism,1
HP:0002910 | Elevated hepatic transaminase,1
HP:0032932 | Increased circulating pancreatic triacylglycerol lipase level,1
HP:0031901 | Elevated total serum tryptase,1
HP:0025433 | Decreased lecithin cholesterol acyl transferase level,1
HP:0045040 | Abnormal lactate dehydrogenase level,1
HP:0040175 | Platelet-activating factor acetylhydrolase deficiency,1
HP:0410144 | Abnormal biotinidase level,1
HP:0032459 | Abnormal phosphoribosylpyrophosphate synthetase level,1
HP:0004379 | Abnormality of alkaline phosphatase level,1
HP:0020175 | Reduced cholinesterase level,1
HP:0034367 | Decreased beta-mannosidase activity,1
HP:0003568 | Decreased glucosephosphate isomerase level,1
HP:0012517 | Reduced catalase level,1
HP:0500099 | Hair xenobiotic,1
HP:0500097 | Stool xenobiotic,1
HP:0500101 | Gastric fluid xenobiotic,1
HP:0031840 | Urine xenobiotic,1
HP:0410172 | Blood xenobiotic,1
HP:0033013 | Abnormal salivary cortisol level,1
HP:0010968 | Abnormality of liposaccharide metabolism,1
HP:0040134 | Abnormal hepatic iron concentration,2
HP:0410157 | Increased level of N-acetylneuraminic acid in fibroblasts,1
HP:0010969 | Abnormality of glycolipid metabolism,1
HP:0034370 | Abnormal muscle tissue metabolite concentration,2
HP:0008167 | Very long chain fatty acid accumulation,1
HP:0045061 | Decreased carnitine level in liver,2
HP:0012676 | Copper accumulation in brain,2
HP:0032655 | Decreased adipose tissue tocopherol level,1
HP:0025321 | Copper accumulation in liver,1
HP:0004371 | Abnormality of glycosaminoglycan metabolism,1
HP:0003358 | Elevated intracellular cystine,1
HP:0012103 | Abnormality of the mitochondrion,1
HP:0003224 | Increased cellular sensitivity to UV light,1
HP:0011133 | Increased sensitivity to ionizing radiation,1
HP:0011018 | Abnormality of the cell cycle,1
HP:0003254 | Abnormality of DNA repair,1
HP:0004356 | Abnormality of lysosomal metabolism,1
HP:0003204 | Intracellular accumulation of autofluorescent lipopigment storage material,1
HP:0032571 | Increased oocyte death,1
HP:0031377 | Abnormal cell proliferation,1
HP:4000056 | Abnormal apoptosis,1
HP:0002916 | Abnormality of chromosome segregation,1
HP:0032576 | Intracellular accumulation of Dol-PP-GlcNAc2Man5,1
HP:0011019 | Abnormality of chromosome condensation,1
HP:0003220 | Abnormality of chromosome stability,1
HP:0025463 | Abnormality of redox activity,1
HP:0003575 | Increased intracellular sodium,1
HP:0030860 | Abnormal CSF amyloid concentration,1
HP:0025688 | Abnormal amyloid beta peptide CSF concentration,1
HP:0032652 | Elevated CSF chitotriosidase 1 concentration,1
HP:0500238 | Abnormal CSF albumin concentration,1
HP:0034406 | Elevated CSF angiotensin-converting enzyme concentration,1
HP:0025457 | Decreased CSF protein concentration,1
HP:0032650 | Elevated CSF glial fibrillary acidic protein concentration,1
HP:0002922 | Increased CSF protein concentration,1
HP:0032651 | Elevated CSF chitinase-3-like protein 1 concentration,1
HP:0032928 | Elevated CSF neurofilamant light chain concentration,1
HP:0012113 | Abnormal circulating creatine concentration,1
HP:0011013 | Abnormal circulating carbohydrate concentration,1
HP:0010876 | Abnormal circulating protein concentration,1
HP:0033405 | Abnormal circulating organic amino compound concentration,1
HP:0003119 | Abnormal circulating lipid concentration,1
HP:0004364 | Abnormal circulating nitrogen compound concentration,1
HP:0033386 | Abnormal circulating collagen degradation product concentration,1
HP:0003111 | Abnormal blood ion concentration,1
HP:0500180 | Abnormal circulating amino sulfonic acid concentration,1
HP:0010472 | Abnormal circulating porphyrin concentration,1
HP:0004354 | Abnormal circulating carboxylic acid concentration,1
HP:0410069 | Increased level of propylene glycol in blood,1
HP:0031903 | Abnormal circulating selenium concentration,1
HP:0020171 | Decreased blood drug concentration,1
HP:0020173 | Reduced drug efficacy,1
HP:0020170 | Increased blood drug concentration,1
HP:0020172 | Adverse drug response,1
HP:0020174 | Refractory drug response,1
HP:0025022 | Decreased erythrocyte sedimentation rate,1
HP:0034056 | Increased fecal calprotectin level,1
HP:0034043 | Increased fecal bile acid,1
HP:0034476 | Positive fecal Clostridium botulinum test,1
HP:0034470 | Elevated stool chloride content,1
HP:0032999 | Increased fecal porphyrin,1
HP:0011985 | Acholic stools,2
HP:0034471 | Increased fecal coproporphyrin III:coproporphyrin I ratio,1
HP:0032488 | Abnormal fecal pH,1
HP:0034469 | Decreased stool elastase level,1
HP:0034283 | Increased fecal protoporphyrin concentration,1
HP:0031686 | Increased stool alpha1-antitrypsin concentration,1
HP:0032484 | Elevated fecal sodium,1
HP:0032485 | Abnormal fecal osmolality,1
HP:0500114 | Abnormal stool urobilinogen concentration,1
HP:0012719 | Functional abnormality of the gastrointestinal tract,2
HP:0002578 | Gastroparesis,2
HP:0025155 | Abnormality of hepatobiliary system physiology,1
HP:0012700 | Abnormal large intestine physiology,1
HP:0025156 | Dependency on intravenous nutrition,1
HP:0011458 | Abdominal symptom,1
HP:0012718 | Morphological abnormality of the gastrointestinal tract,2
HP:0007378 | Neoplasm of the gastrointestinal tract,2
HP:0004392 | Prune belly,1
HP:0100548 | Exstrophy,1
HP:0034361 | Redundant umbilical skin,1
HP:0010991 | Abnormal morphology of the abdominal musculature,2
HP:0010866 | Abdominal wall defect,1
HP:0001551 | Abnormal umbilicus morphology,1
HP:0025181 | Abdominal aseptic abscess,1
HP:0001541 | Ascites,1
HP:0005217 | Duplication of internal organs,1
HP:0031501 | Pelvic mass,1
HP:0031607 | Pelvic organ prolapse,1
HP:0031500 | Abdominal mass,1
HP:0003271 | Visceromegaly,1
HP:0033134 | Abdominal adhesions,1
HP:0002585 | Abnormality of the peritoneum,1
HP:0001732 | Abnormality of the pancreas,1
HP:0100016 | Abnormality of mesentery morphology,1
HP:0001392 | Abnormality of the liver,1
HP:0005100 | Premature birth following premature rupture of fetal membranes,2
HP:0005267 | Premature delivery because of cervical insufficiency or membrane fragility,1
HP:0025665 | Extremely preterm birth,1
HP:0025666 | Very preterm birth,1
HP:0025664 | Moderate to late preterm birth,1
HP:0040222 | Maternal thrombophilia,1
HP:0009800 | Maternal diabetes,2
HP:0100603 | Toxemia of pregnancy,1
HP:0200067 | Recurrent spontaneous abortion,1
HP:0011436 | Abnormal maternal serum screening,1
HP:0031456 | Ectopic pregnancy,1
HP:0100610 | Maternal hyperphenylalaninemia,2
HP:0031437 | Pregnancy exposure,1
HP:0100622 | Maternal seizure,2
HP:0008072 | Maternal virilization in pregnancy,1
HP:0011437 | Maternal autoimmune disease,1
HP:0012188 | Hyperemesis gravidarum,1
HP:0012546 | Skewed maternal X inactivation,1
HP:0030244 | Maternal fever in pregnancy,2
HP:0033335 | Abnormal preimplantation embryonic development,1
HP:0100767 | Abnormal placenta morphology,1
