#disease-db	disease-identifier	disease-name	negation	HPO-ID	reference	evidence-code	onset	frequencyHPO	modifier	sub-ontology	alt-names	curators	frequencyRaw	sex
OMIM	106260	Ankyloblepharon-Ectodermal defects-cleft lip/palate	NOT	HP:0001249	OMIM:106260	TAS			 	P	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	HPO:skoehler[2014-11-26]	-	-
OMIM	106300	Spondyloarthropathy, susceptibility to, 1	NOT	HP:0002923	OMIM:106300	TAS			 	P	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1	HPO:probinson[2015-01-31]	-	-
OMIM	108120	Arthrogryposis, distal, type 1A	NOT	HP:0001249	OMIM:108120	TAS			 	P	ARTHROGRYPOSIS, DISTAL, TYPE 1A	HPO:skoehler[2014-11-26]	-	-
OMIM	108145	Arthrogryposis, distal, type 5	NOT	HP:0001249	OMIM:108145	TAS			 	P	ARTHROGRYPOSIS, DISTAL, TYPE 5	HPO:skoehler[2014-11-26]	-	-
OMIM	108420	Spermatogenic failure 2		HP:0030087	PMID:33437391	PCS		HP:0040285	 	P	SPERMATOGENIC FAILURE 2	HPO:probinson[2022-08-04]	0/1	-
OMIM	108420	Spermatogenic failure 2		HP:0030345	PMID:33437391	PCS		HP:0040285	 	P	SPERMATOGENIC FAILURE 2	HPO:probinson[2022-08-04]	0/1	-
OMIM	108420	Spermatogenic failure 2		HP:0030346	PMID:33437391	PCS		HP:0040285	 	P	SPERMATOGENIC FAILURE 2	HPO:probinson[2022-08-04]	0/1	-
OMIM	108450	Asymmetric short stature syndrome	NOT	HP:0001249	OMIM:108450	TAS			 	P	ASYMMETRIC SHORT STATURE SYNDROME	HPO:skoehler[2014-11-26]	-	-
OMIM	109160	Azotemia, familial	NOT	HP:0012211	OMIM:109160	TAS			 	P	AZOTEMIA, FAMILIAL	HPO:skoehler[2014-11-27]	-	-
OMIM	109740	Bifid nose, autosomal dominant	NOT	HP:0000316	OMIM:109740	IEA			 	P	BIFID NOSE, AUTOSOMAL DOMINANT	HPO:skoehler[2010-06-18]	-	-
OMIM	109740	Bifid nose, autosomal dominant	NOT	HP:0000316	OMIM:109740	TAS			 	P	BIFID NOSE, AUTOSOMAL DOMINANT	HPO:skoehler[2013-05-30]	-	-
OMIM	110100	Blepharophimosis, epicanthus inversus, and ptosis	NOT	HP:0000769	OMIM:110100	TAS			 	P	BLEPHAROPHIMOSIS, EPICANTHUS INVERSUS, AND PTOSIS	HPO:iea[2009-02-17]	-	-
OMIM	112240	Cole-Carpenter syndrome 1		HP:0001263	PMID:25683117	PCS		HP:0040285	 	P	COLE-CARPENTER SYNDROME 1	HPO:skoehler[2015-01-04];HPO:probinson[2022-12-04]	0/2	-
OMIM	112300	Book syndrome	NOT	HP:0001597	OMIM:112300	TAS			 	P	BOOK SYNDROME	HPO:probinson[2009-02-17]	-	-
OMIM	112700	Brachydactyly, type A3	NOT	HP:0001507	OMIM:112700	TAS			 	P	BRACHYDACTYLY, TYPE A3	HPO:probinson[2009-02-17]	-	-
OMIM	112800	Brachydactyly, type A4	NOT	HP:0001507	OMIM:112800	TAS			 	P	BRACHYDACTYLY, TYPE A4	HPO:probinson[2009-02-17]	-	-
OMIM	113500	Brachyolmia type 3	NOT	HP:0001249	OMIM:113500	TAS			 	P	BRACHYOLMIA TYPE 3	HPO:skoehler[2014-11-26]	-	-
OMIM	113610	Branchial myoclonus with spastic paraparesis and cerebellar ataxia	NOT	HP:0007361	OMIM:113610	TAS			 	P	BRANCHIAL MYOCLONUS WITH SPASTIC PARAPARESIS AND CEREBELLAR ATAXIA	HPO:probinson[2013-12-18]	-	-
OMIM	114030	Cafe-Au-Lait spots, multiple	NOT	HP:0001067	PMID:8825931	PCS			 	P	CAFE-AU-LAIT SPOTS, MULTIPLE	HPO:skoehler[2013-05-30]	-	-
OMIM	114030	Cafe-Au-Lait spots, multiple	NOT	HP:0009737	PMID:8825931	PCS			 	P	CAFE-AU-LAIT SPOTS, MULTIPLE	HPO:skoehler[2016-12-30]	-	-
OMIM	114100	Basal ganglia calcification, idiopathic, childhood-onset	NOT	HP:0004363	OMIM:114100	TAS			 	P	BASAL GANGLIA CALCIFICATION, IDIOPATHIC, CHILDHOOD-ONSET	HPO:skoehler[2014-11-26]	-	-
OMIM	115195	Cardiomyopathy, familial hypertrophic, 2		HP:0012664	PMID:32846832	PCS		HP:0040285	 	P	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2	HPO:probinson[2022-07-04]	0/6	-
OMIM	117000	Central core disease	NOT	HP:0002047	PMID:11113224	PCS		HP:0040285	 	P	CENTRAL CORE DISEASE	HPO:probinson[2021-06-26]	0/10	-
OMIM	118301	Charcot-Marie-Tooth disease with ptosis and parkinsonism	NOT	HP:0007305	OMIM:118301	TAS			 	P	CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM	HPO:skoehler[2012-11-16]	-	-
OMIM	118400	Cherubism	NOT	HP:0004379	PMID:11113824	PCS			 	P	CHERUBISM	HPO:probinson[2020-09-25]	-	-
OMIM	118610	Chondrocalcinosis due to apatite crystal deposition	NOT	HP:0001507	OMIM:118610	TAS			 	P	CHONDROCALCINOSIS DUE TO APATITE CRYSTAL DEPOSITION	HPO:probinson[2009-02-17]	-	-
OMIM	118700	Chorea, benign hereditary		HP:0000726	PMID:12891678	PCS		HP:0040285	 	P	CHOREA, BENIGN HEREDITARY	HPO:skoehler[2012-11-16];HPO:probinson[2022-11-26]	0/4	-
OMIM	120100	Familial cold inflammatory syndrome 1		HP:0000365	PMID:31777803	PCS		HP:0040285	 	P	FAMILIAL COLD INFLAMMATORY SYNDROME 1	HPO:probinson[2020-09-26];HPO:probinson[2022-12-03]	0/1	-
OMIM	120440	Colonic varices without portal hypertension	NOT	HP:0001392	OMIM:120440	TAS			 	P	COLONIC VARICES WITHOUT PORTAL HYPERTENSION	HPO:skoehler[2012-11-16]	-	-
OMIM	120440	Colonic varices without portal hypertension	NOT	HP:0001409	OMIM:120440	TAS			 	P	COLONIC VARICES WITHOUT PORTAL HYPERTENSION	HPO:probinson[2014-01-01]	-	-
OMIM	121201	Epilepsy, benign neonatal, 2	NOT	HP:0001263	OMIM:121201	TAS			 	P	EPILEPSY, BENIGN NEONATAL, 2	HPO:probinson[2014-05-22]	-	-
OMIM	123000	Craniometaphyseal dysplasia, autosomal dominant	NOT	HP:0004322	OMIM:123000	TAS			 	P	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	HPO:probinson[2015-03-22]	-	-
OMIM	123100	Craniosynostosis 1	NOT	HP:0001249	OMIM:123100	TAS			 	P	CRANIOSYNOSTOSIS 1	HPO:probinson[2014-05-24]	-	-
OMIM	123560	Cryptomicrotia-Brachydactyly syndrome	NOT	HP:0000047	OMIM:123560	TAS			 	P	CRYPTOMICROTIA-BRACHYDACTYLY SYNDROME	HPO:skoehler[2010-06-20]	-	-
OMIM	123560	Cryptomicrotia-Brachydactyly syndrome	NOT	HP:0001249	OMIM:123560	TAS			 	P	CRYPTOMICROTIA-BRACHYDACTYLY SYNDROME	HPO:skoehler[2014-11-26]	-	-
OMIM	123700	Cutis laxa, autosomal dominant 1		HP:0000974	PMID:9580666	PCS		HP:0040285	 	P	CUTIS LAXA, AUTOSOMAL DOMINANT 1	HPO:skoehler[2010-06-18];HPO:probinson[2022-07-02]	0/2	-
OMIM	123700	Cutis laxa, autosomal dominant 1		HP:0001058	PMID:9580666	PCS		HP:0040285	 	P	CUTIS LAXA, AUTOSOMAL DOMINANT 1	HPO:skoehler[2014-11-27];HPO:probinson[2022-07-02]	0/2	-
OMIM	124480	Deafness, congenital, and onychodystrophy, autosomal dominant		HP:0001249	PMID:24913193	PCS		HP:0040285	 	P	DEAFNESS, CONGENITAL, AND ONYCHODYSTROPHY, AUTOSOMAL DOMINANT	HPO:probinson[2022-03-04]	0/3	-
OMIM	124500	Vohwinkel syndrome	NOT	HP:0000365	PMID:8673107	PCS		HP:0040285	 	P	VOHWINKEL SYNDROME	HPO:probinson[2013-03-31];HPO:probinson[2021-05-02]	0/45	-
OMIM	124900	Deafness, autosomal dominant 1		HP:0003540	PMID:26912466	PCS		HP:0040285	 	P	DEAFNESS, AUTOSOMAL DOMINANT 1	HPO:probinson[2022-09-26]	0/3	-
OMIM	125630	Dermodistortive urticaria	NOT	HP:0011971	OMIM:125630	TAS			 	P	DERMODISTORTIVE URTICARIA	HPO:probinson[2018-03-05]	-	-
OMIM	126070	Dilution, pigmentary	NOT	HP:0000613	OMIM:126070	IEA			 	P	DILUTION, PIGMENTARY	HPO:skoehler[2010-06-20]	-	-
OMIM	126070	Dilution, pigmentary	NOT	HP:0000639	OMIM:126070	IEA			 	P	DILUTION, PIGMENTARY	HPO:skoehler[2010-06-20]	-	-
OMIM	127000	Kenny-caffey syndrome, type 2	NOT	HP:0001249	OMIM:127000	TAS			 	P	KENNY-CAFFEY SYNDROME, TYPE 2	HPO:skoehler[2014-11-26]	-	-
OMIM	127350	Dyschondrosteosis and nephritis	NOT	HP:0001249	OMIM:127350	TAS			 	P	DYSCHONDROSTEOSIS AND NEPHRITIS	HPO:skoehler[2014-11-26]	-	-
OMIM	129810	Ectrodactyly and ectodermal dysplasia without cleft lip/palate	NOT	HP:0000202	OMIM:129810	IEA			 	P	ECTRODACTYLY AND ECTODERMAL DYSPLASIA WITHOUT CLEFT LIP/PALATE	HPO:skoehler[2010-06-18]	-	-
OMIM	129810	Ectrodactyly and ectodermal dysplasia without cleft lip/palate	NOT	HP:0410030	OMIM:129810	IEA			 	P	ECTRODACTYLY AND ECTODERMAL DYSPLASIA WITHOUT CLEFT LIP/PALATE	HPO:skoehler[2018-10-08]	-	-
OMIM	129830	Ectrodactyly-Cleft palate syndrome	NOT	HP:0000204	OMIM:129830	IEA			 	P	ECTRODACTYLY-CLEFT PALATE SYNDROME	HPO:skoehler[2010-06-18]	-	-
OMIM	129830	Ectrodactyly-Cleft palate syndrome	NOT	HP:0000968	OMIM:129830	IEA			 	P	ECTRODACTYLY-CLEFT PALATE SYNDROME	HPO:skoehler[2010-06-18]	-	-
OMIM	129830	Ectrodactyly-Cleft palate syndrome	NOT	HP:0000968	OMIM:129830	TAS			 	P	ECTRODACTYLY-CLEFT PALATE SYNDROME	HPO:skoehler[2013-05-30]	-	-
OMIM	130020	Ehlers-danlos syndrome, Hypermobility type	NOT	HP:0100699	OMIM:130020	TAS			 	P	EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE	HPO:skoehler[2013-05-30]	-	-
OMIM	131800	Epidermolysis bullosa simplex, Weber-Cockayne type		HP:0000962	PMID:9284105	PCS		HP:0040285	 	P	EPIDERMOLYSIS BULLOSA SIMPLEX, WEBER-COCKAYNE TYPE	HPO:skoehler[2010-06-20];HPO:probinson[2022-05-12]	0/33	-
OMIM	131800	Epidermolysis bullosa simplex, Weber-Cockayne type		HP:0001056	PMID:9284105	PCS		HP:0040285	 	P	EPIDERMOLYSIS BULLOSA SIMPLEX, WEBER-COCKAYNE TYPE	HPO:skoehler[2010-06-20];HPO:probinson[2022-05-12]	0/33	-
OMIM	131900	Epidermolysis bullosa simplex 1B, generalized intermediate		HP:0001056	PMID:11710919	PCS		HP:0040285	 	P	EPIDERMOLYSIS BULLOSA SIMPLEX 1B, GENERALIZED INTERMEDIATE	HPO:skoehler[2010-06-20];HPO:probinson[2022-03-16]	0/5	-
OMIM	131900	Epidermolysis bullosa simplex 1B, generalized intermediate		HP:0008404	PMID:11710919	PCS		HP:0040285	 	P	EPIDERMOLYSIS BULLOSA SIMPLEX 1B, GENERALIZED INTERMEDIATE	HPO:skoehler[2013-05-03];HPO:probinson[2022-03-16]	0/5	-
OMIM	131900	Epidermolysis bullosa simplex 1B, generalized intermediate		HP:0200097	PMID:11710919	PCS		HP:0040285	 	P	EPIDERMOLYSIS BULLOSA SIMPLEX 1B, GENERALIZED INTERMEDIATE	HP:probinson[2019-03-03];HPO:probinson[2022-03-16]	0/5	-
OMIM	133700	Exostoses, multiple, type I		HP:0006765	PMID:35106951	PCS		HP:0040285	 	P	EXOSTOSES, MULTIPLE, TYPE I	HPO:iea[2009-02-17];HPO:probinson[2022-03-31]	0/8	-
OMIM	133701	Exostoses, multiple, type II		HP:0004322	OMIM:133701	IEA		HP:0040285	 	P	EXOSTOSES, MULTIPLE, TYPE II	HPO:iea[2009-02-17];HPO:probinson[2022-03-31]	0/10	-
OMIM	133701	Exostoses, multiple, type II		HP:0006765	PMID:11432960	PCS		HP:0040285	 	P	EXOSTOSES, MULTIPLE, TYPE II	HPO:iea[2009-02-17];HPO:probinson[2022-03-31]	0/10	-
OMIM	133705	External auditory canal, bilateral atresia of, with congenital verticaltalus	NOT	HP:0000316	OMIM:133705	IEA			 	P	EXTERNAL AUDITORY CANAL, BILATERAL ATRESIA OF, WITH CONGENITAL VERTICALTALUS	HPO:skoehler[2010-06-20]	-	-
OMIM	133780	Exudative vitreoretinopathy 1		HP:0030666	PMID:15488808	PCS		HP:0040285	 	P	EXUDATIVE VITREORETINOPATHY 1	HPO:skoehler[2015-12-30];HPO:probinson[2022-05-29]	0/2	-
OMIM	134780	Femoral-facial syndrome	NOT	HP:0001249	OMIM:134780	TAS			 	P	FEMORAL-FACIAL SYNDROME	HPO:skoehler[2014-11-26]	-	-
OMIM	135300	Fibromatosis, gingival, 1		HP:0000365	PMID:11868160	PCS		HP:0040285	 	P	FIBROMATOSIS, GINGIVAL, 1	HPO:probinson[2022-03-19]	0/38	-
OMIM	135300	Fibromatosis, gingival, 1		HP:0001249	PMID:11868160	PCS		HP:0040285	 	P	FIBROMATOSIS, GINGIVAL, 1	HPO:probinson[2022-03-19]	0/38	-
OMIM	135800	Fibula, recurrent dislocation of head of	NOT	HP:0002761	OMIM:135800	IEA			 	P	FIBULA, RECURRENT DISLOCATION OF HEAD OF	HPO:skoehler[2010-06-18]	-	-
OMIM	135800	Fibula, recurrent dislocation of head of	NOT	HP:0002761	OMIM:135800	TAS			 	P	FIBULA, RECURRENT DISLOCATION OF HEAD OF	HPO:skoehler[2013-05-30]	-	-
OMIM	136550	Macular dystrophy, retinal, 1, north Carolina type	NOT	HP:0007641	OMIM:136550	TAS			 	P	MACULAR DYSTROPHY, RETINAL, 1, NORTH CAROLINA TYPE	HPO:probinson[2012-07-24]	-	-
OMIM	137920	Renal cysts and diabetes syndrome	NOT	HP:0001513	OMIM:137920	TAS			 	P	RENAL CYSTS AND DIABETES SYNDROME	HPO:skoehler[2013-05-30]	-	-
OMIM	141750	Alpha-Thalassemia/mental retardation syndrome, chromosome 16-related	NOT	HP:0040133	OMIM:141750	TAS			 	P	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED	HPO:skoehler[2015-01-04]	-	-
OMIM	143095	Spondyloepiphyseal dysplasia with congenital joint dislocations	NOT	HP:0001249	OMIM:143095	TAS			 	P	SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS	HPO:skoehler[2014-11-26]	-	-
OMIM	143500	Gilbert syndrome		HP:0001399	PMID:11316168	PCS		HP:0040285	 	P	GILBERT SYNDROME	HPO:skoehler[2010-06-20];HPO:probinson[2022-08-13]	0/20	-
OMIM	143500	Gilbert syndrome		HP:0002910	PMID:11316168	PCS		HP:0040285	 	P	GILBERT SYNDROME	HPO:probinson[2022-08-13];HPO:probinson[2022-08-13]	0/20	-
OMIM	144750	Hyperostosis, endosteal	NOT	HP:0000002	OMIM:144750	TAS			 	P	HYPEROSTOSIS, ENDOSTEAL	HPO:skoehler[2014-11-26]	-	-
OMIM	145290	HYPERREFLEXIA	NOT	HP:0003487	OMIM:145290	TAS			 	P		HPO:probinson[2015-07-19]	-	-
OMIM	146000	Hypochondroplasia	NOT	HP:0001363	OMIM:146000	TAS			 	P	HYPOCHONDROPLASIA	HPO:probinson[2012-07-24]	-	-
OMIM	146000	Hypochondroplasia	NOT	HP:0004060	OMIM:146000	TAS			 	P	HYPOCHONDROPLASIA	HPO:probinson[2009-02-17]	-	-
OMIM	146110	Hypogonadotropic hypogonadism 7 without anosmia	NOT	HP:0004408	OMIM:146110	TAS			 	P	HYPOGONADOTROPIC HYPOGONADISM 7 WITHOUT ANOSMIA	HPO:skoehler[2015-06-22]	-	-
OMIM	146510	Pallister-Hall syndrome	NOT	HP:0100258	PMID:24736735	PCS			 	P	PALLISTER-HALL SYNDROME	HPO:probinson[2017-05-28]	-	-
OMIM	146520	Hypotrichosis 2	NOT	HP:0000164	OMIM:146520	IEA			 	P	HYPOTRICHOSIS 2	HPO:skoehler[2019-04-18]	-	-
OMIM	146520	Hypotrichosis 2	NOT	HP:0001597	OMIM:146520	IEA			 	P	HYPOTRICHOSIS 2	HPO:skoehler[2019-04-18]	-	-
OMIM	147330	Incisors, lower central, absence of	NOT	HP:0000668	PMID:27274160	PCS			 	P	INCISORS, LOWER CENTRAL, ABSENCE OF	HPO:lccarmody[2018-10-02]	-	-
OMIM	147430	Marsili syndrome	NOT	HP:0000559	PMID:8983665	PCS			 	P	MARSILI SYNDROME	HPO:lccarmody[2018-10-04]	-	-
OMIM	147430	Marsili syndrome	NOT	HP:0000632	PMID:8983665	PCS			 	P	MARSILI SYNDROME	HPO:lccarmody[2018-10-04]	-	-
OMIM	147891	Ischiocoxopodopatellar syndrome with or without pulmonary arterial hypertension	NOT	HP:0001597	OMIM:147891	TAS			 	P	ISCHIOCOXOPODOPATELLAR SYNDROME WITH OR WITHOUT PULMONARY ARTERIAL HYPERTENSION	HPO:probinson[2018-03-07]	-	-
OMIM	148600	Palmoplantar keratoderma, punctate type IA	NOT	HP:0001597	PMID:14684683	PCS			 	P	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE IA	HP:probinson[2019-04-13]	-	-
OMIM	150500	Lattice degeneration of retina leading to retinal detachment	NOT	HP:0000545	OMIM:150500	IEA			 	P	LATTICE DEGENERATION OF RETINA LEADING TO RETINAL DETACHMENT	HPO:skoehler[2010-06-18]	-	-
OMIM	150500	Lattice degeneration of retina leading to retinal detachment	NOT	HP:0000545	OMIM:150500	TAS			 	P	LATTICE DEGENERATION OF RETINA LEADING TO RETINAL DETACHMENT	HPO:skoehler[2013-05-30]	-	-
OMIM	151600	Nail disorder, nonsyndromic congenital, 3		HP:0001595	PMID:21665001	PCS		HP:0040285	 	P	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3	HPO:probinson[2022-11-10]	0/25	-
OMIM	151600	Nail disorder, nonsyndromic congenital, 3		HP:0011121	PMID:21665001	PCS		HP:0040285	 	P	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3	HPO:probinson[2022-11-10]	0/25	-
OMIM	151660	Lipodystrophy, familial partial, type 2		HP:0000956	PMID:17250669	PCS		HP:0040285	 	P	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2	HPO:iea[2009-02-17];HPO:probinson[2022-04-01]	0/3	-
OMIM	153880	Macular edema, cystoid	NOT	HP:0000512	OMIM:153880	TAS			 	P	MACULAR EDEMA, CYSTOID	HPO:skoehler[2014-11-27]	-	-
OMIM	154400	Acrofacial dysostosis 1, Nager type	NOT	HP:0001249	OMIM:154400	TAS			 	P	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE	HPO:skoehler[2014-11-26]	-	-
OMIM	154700	Marfan syndrome		HP:0000501	PMID:29587526	PCS		HP:0040285	 	P	MARFAN SYNDROME	HPO:probinson[2021-05-27]	0/52	-
OMIM	154750	Marfanoid hypermobility syndrome	NOT	HP:0000541	OMIM:154750	IEA			 	P	MARFANOID HYPERMOBILITY SYNDROME	HPO:skoehler[2010-06-18]	-	-
OMIM	154750	Marfanoid hypermobility syndrome	NOT	HP:0000541	OMIM:154750	TAS			 	P	MARFANOID HYPERMOBILITY SYNDROME	HPO:skoehler[2013-05-30]	-	-
OMIM	155100	Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss		HP:0000077	PMID:10973259	PCS		HP:0040285	 	P	MACROTHROMBOCYTOPENIA AND GRANULOCYTE INCLUSIONS WITH OR WITHOUT NEPHRITIS OR SENSORINEURAL HEARING LOSS	HPO:skoehler[2013-05-30];HPO:probinson[2022-04-19]	0/10	-
OMIM	155100	Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss		HP:0000407	PMID:10973259	PCS		HP:0040285	 	P	MACROTHROMBOCYTOPENIA AND GRANULOCYTE INCLUSIONS WITH OR WITHOUT NEPHRITIS OR SENSORINEURAL HEARING LOSS	HPO:skoehler[2019-04-18];HPO:probinson[2022-04-19]	0/10	-
OMIM	156230	Mesomelic dwarfism of hypoplastic tibia and Radius type	NOT	HP:0000271	OMIM:156230	TAS			 	P	MESOMELIC DWARFISM OF HYPOPLASTIC TIBIA AND RADIUS TYPE	HPO:skoehler[2014-11-26]	-	-
OMIM	156500	Metaphyseal chondrodysplasia, Schmid type		HP:0000926	PMID:16088909	PCS		HP:0040285	 	P	METAPHYSEAL CHONDRODYSPLASIA, SCHMID TYPE	HPO:probinson[2009-02-17];HPO:probinson[2022-03-23]	0/7	-
OMIM	157640	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 1	NOT	HP:0100315	OMIM:157640	TAS			 	P	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 1	HPO:skoehler[2013-05-30]	-	-
OMIM	157800	Cardiospondylocarpofacial syndrome		HP:0008368	PMID:29467388	PCS		HP:0040285	 	P	CARDIOSPONDYLOCARPOFACIAL SYNDROME	HPO:probinson[2022-04-24];HPO:probinson[2022-04-24]	0/1	-
OMIM	157800	Cardiospondylocarpofacial syndrome		HP:0009702	PMID:29467388	PCS		HP:0040285	 	P	CARDIOSPONDYLOCARPOFACIAL SYNDROME	HPO:probinson[2022-04-24];HPO:probinson[2022-04-24]	0/1	-
OMIM	158310	Mucoepithelial dysplasia, hereditary		HP:0000365	PMID:31790666	PCS		HP:0040285	 	P	MUCOEPITHELIAL DYSPLASIA, HEREDITARY	HPO:probinson[2022-12-10]	0/7	-
OMIM	158330	Mullerian aplasia and hyperandrogenism	NOT	HP:0000811	OMIM:158330	TAS			 	P	MULLERIAN APLASIA AND HYPERANDROGENISM	HPO:skoehler[2014-11-27]	-	-
OMIM	158580	Neuronopathy, distal hereditary motor, type VIIA	NOT	HP:0040131	OMIM:158580	TAS			 	P	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA	HPO:skoehler[2015-01-04]	-	-
OMIM	159950	Spinal muscular atrophy with progressive myoclonic epilepsy		HP:0003236	PMID:22703880	PCS		HP:0040285	 	P	SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY	HPO:skoehler[2013-03-11];HPO:probinson[2022-11-06]	0/6	-
OMIM	160150	Myopathy, centronuclear, autosomal dominant		HP:0003712	PMID:32826616	PCS		HP:0040285	 	P	MYOPATHY, CENTRONUCLEAR, AUTOSOMAL DOMINANT	HPO:iea[2009-02-17];HP:probinson[2019-03-01];HPO:probinson[2022-05-14]	0/1	-
OMIM	160800	Myotonia congenita, autosomal dominant		HP:0001324	PMID:18337100	PCS		HP:0040285	 	P	MYOTONIA CONGENITA, AUTOSOMAL DOMINANT	HPO:skoehler[2010-06-18];HPO:probinson[2022-07-19]	0/9	-
OMIM	162091	Schwannomatosis		HP:0009588	PMID:17357086	PCS		HP:0040285	 	P	SCHWANNOMATOSIS	HPO:probinson[2022-10-11]	0/2	-
OMIM	162210	Neurofibromatosis, familial spinal		HP:0000957	PMID:11704931	PCS		HP:0040285	 	P	NEUROFIBROMATOSIS, FAMILIAL SPINAL	HPO:probinson[2022-03-15]	0/3	-
OMIM	162210	Neurofibromatosis, familial spinal		HP:0001480	PMID:11704931	PCS		HP:0040285	 	P	NEUROFIBROMATOSIS, FAMILIAL SPINAL	HPO:skoehler[2010-06-20];HPO:probinson[2022-03-15]	0/3	-
OMIM	162210	Neurofibromatosis, familial spinal		HP:0009737	PMID:11704931	PCS		HP:0040285	 	P	NEUROFIBROMATOSIS, FAMILIAL SPINAL	HPO:probinson[2022-03-15]	0/3	-
