phenotypeId	numberPapers	phenotypeName
HP:0000222	118	Gingival hyperkeratosis
HP:0000224	229	Hypogeusia
HP:0000225	229	Gingival bleeding
HP:0000227	59	Tongue telangiectasia
HP:0000237	53	Small anterior fontanelle
HP:0000243	229	Trigonocephaly
HP:0000250	229	Dense calvaria
HP:0000253	229	Progressive microcephaly
HP:0000263	229	Oxycephaly
HP:0000265	229	Mastoiditis
HP:0000269	48	Prominent occiput
HP:0000272	82	Malar flattening
HP:0000273	229	Facial grimacing
HP:0000275	229	Narrow face
HP:0000276	229	Long face
HP:0000283	229	Broad face
HP:0000287	229	Increased facial adipose tissue
HP:0000289	229	Broad philtrum
HP:0000293	229	Full cheeks
HP:0000297	229	Facial hypotonia
HP:0000298	53	Mask-like facies
HP:0000300	229	Oval face
HP:0000303	229	Mandibular prognathia
HP:0000307	229	Pointed chin
HP:0000308	91	Microretrognathia
HP:0000311	229	Round face
HP:0000316	229	Hypertelorism
HP:0000317	229	Facial myokymia
HP:0000319	229	Smooth philtrum
HP:0000320	41	Bird-like facies
HP:0000321	229	Square face
HP:0000322	229	Short philtrum
HP:0000325	229	Triangular face
HP:0000331	229	Short chin
HP:0000339	229	Pugilistic facies
HP:0000340	70	Sloping forehead
HP:0000341	177	Narrow forehead
HP:0000343	229	Long philtrum
HP:0000348	229	High forehead
HP:0000350	229	Small forehead
HP:0000362	229	Otosclerosis
HP:0000368	65	Low-set, posteriorly rotated ears
HP:0000371	229	Acute otitis media
HP:0000385	80	Small earlobe
HP:0000389	229	Chronic otitis media
HP:0000394	41	Lop ear
HP:0000395	63	Prominent antihelix
HP:0000399	229	Prelingual sensorineural hearing impairment
HP:0000403	229	Recurrent otitis media
HP:0000410	229	Mixed hearing impairment
HP:0000411	229	Protruding ear
HP:0000414	214	Bulbous nose
HP:0000417	38	Slender nose
HP:0000418	44	Narrow nasal ridge
HP:0000420	229	Short nasal septum
HP:0000426	229	Prominent nasal bridge
HP:0000431	172	Wide nasal bridge
HP:0000434	80	Nasal mucosa telangiectasia
HP:0000437	107	Depressed nasal tip
HP:0000446	122	Narrow nasal bridge
HP:0000448	229	Prominent nose
HP:0000455	163	Broad nasal tip
HP:0000456	52	Bifid nasal tip
HP:0000460	229	Narrow nose
HP:0000463	102	Anteverted nares
HP:0000465	208	Webbed neck
HP:0000466	229	Limited neck range of motion
HP:0000470	229	Short neck
HP:0000471	229	Gastrointestinal angiodysplasia
HP:0000472	229	Long neck
HP:0000475	229	Broad neck
HP:0000482	229	Microcornea
HP:0000484	229	Hyperopic astigmatism
HP:0000485	124	Megalocornea
HP:0000495	229	Recurrent corneal erosions
HP:0000506	229	Telecanthus
HP:0000519	229	Developmental cataract
HP:0000522	189	Alacrima
HP:0000524	73	Conjunctival telangiectasia
HP:0000526	229	Aniridia
HP:0000531	229	Corneal crystals
HP:0000537	219	Epicanthus inversus
HP:0000538	105	Pseudopapilledema
HP:0000542	44	Impaired ocular adduction
HP:0000550	108	Undetectable electroretinogram
HP:0000552	229	Tritanomaly
HP:0000555	229	Leukocoria
HP:0000557	229	Buphthalmos
HP:0000558	229	Rieger anomaly
HP:0000559	229	Corneal scarring
HP:0000563	229	Keratoconus
HP:0000564	229	Lacrimal duct atresia
HP:0000574	168	Thick eyebrow
HP:0000576	229	Centrocecal scotoma
HP:0000581	229	Blepharophimosis
HP:0000585	209	Band keratopathy
HP:0000586	229	Shallow orbits
HP:0000588	223	Optic disc coloboma
HP:0000590	229	Progressive external ophthalmoplegia
HP:0000592	229	Blue sclerae
HP:0000601	160	Hypotelorism
HP:0000603	229	Central scotoma
HP:0000607	229	Periorbital wrinkles
HP:0000612	229	Iris coloboma
HP:0000613	229	Photophobia
HP:0000619	229	Impaired convergence
HP:0000620	229	Dacryocystitis
HP:0000623	229	Supranuclear ophthalmoplegia
HP:0000627	104	Posterior embryotoxon
HP:0000634	66	Impaired ocular abduction
HP:0000635	64	Blue irides
HP:0000636	41	Upper eyelid coloboma
HP:0000637	229	Long palpebral fissure
HP:0000643	229	Blepharospasm
HP:0000646	229	Amblyopia
HP:0000647	95	Sclerocornea
HP:0000650	92	Abnormal amplitude of pattern reversal visual evoked potentials
HP:0000651	229	Diplopia
HP:0000654	75	Decreased light- and dark-adapted electroretinogram amplitude
HP:0000658	112	Eyelid apraxia
HP:0000659	229	Peters anomaly
HP:0000660	69	Lipemia retinalis
HP:0000664	120	Synophrys
HP:0000667	229	Phthisis bulbi
HP:0000668	229	Hypodontia
HP:0000670	229	Carious teeth
HP:0000674	229	Anodontia
HP:0000677	229	Oligodontia
HP:0000678	229	Dental crowding
HP:0000680	229	Delayed eruption of primary teeth
HP:0000694	142	Odontodysplasia
HP:0000695	229	Natal tooth
HP:0000696	229	Delayed eruption of permanent teeth
HP:0000700	229	Periapical bone loss
HP:0000705	229	Amelogenesis imperfecta
HP:0000710	62	Hyperorality
HP:0000712	229	Emotional lability
HP:0000713	229	Agitation
HP:0000716	229	Depression
HP:0000717	229	Autism
HP:0000718	229	Aggressive behavior
HP:0000721	229	Lack of spontaneous play
HP:0000723	229	Restrictive behavior
HP:0000727	229	Frontal lobe dementia
HP:0000732	229	Inflexible adherence to routines or rituals
HP:0000737	229	Irritability
HP:0000740	68	Episodic paroxysmal anxiety
HP:0000741	229	Apathy
HP:0000743	229	Frontal release signs
HP:0000744	90	Low frustration tolerance
HP:0000751	229	Personality changes
HP:0000756	229	Agoraphobia
HP:0000757	229	Lack of insight
HP:0000771	229	Gynecomastia
HP:0000774	229	Narrow chest
HP:0000778	229	Hypoplasia of the thymus
HP:0000786	229	Primary amenorrhea
HP:0000793	229	Membranoproliferative glomerulonephritis
HP:0000794	229	IgA deposition in the glomerulus
HP:0000799	229	Renal steatosis
HP:0000800	229	Cystic renal dysplasia
HP:0000802	229	Impotence
HP:0000804	229	Xanthine nephrolithiasis
HP:0000807	68	Glandular hypospadias
HP:0000808	229	Penoscrotal hypospadias
HP:0000813	229	Bicornuate uterus
HP:0000815	229	Hypergonadotropic hypogonadism
HP:0000817	229	Poor eye contact
HP:0000825	229	Hyperinsulinemic hypoglycemia
HP:0000832	229	Primary hypothyroidism
HP:0000839	229	Pituitary dwarfism
HP:0000840	229	Adrenogenital syndrome
HP:0000841	182	Hyperactive renin-angiotensin system
HP:0000845	229	Elevated circulating growth hormone concentration
HP:0000848	229	Increased circulating renin level
HP:0000851	229	Congenital hypothyroidism
HP:0000852	229	Pseudohypoparathyroidism
HP:0000860	229	Parathyroid hypoplasia
HP:0000863	229	Central diabetes insipidus
HP:0000867	229	Secondary hyperparathyroidism
HP:0000869	229	Secondary amenorrhea
HP:0000870	228	Increased circulating prolactin concentration
HP:0000872	229	Hashimoto thyroiditis
HP:0000875	229	Episodic hypertension
HP:0000876	229	Oligomenorrhea
HP:0000877	229	Insulin-resistant diabetes mellitus at puberty
HP:0000878	39	11 pairs of ribs
HP:0000883	136	Thin ribs
HP:0000884	56	Prominent sternum
HP:0000886	229	Deformed rib cage
HP:0000888	89	Horizontal ribs
HP:0000890	229	Long clavicles
HP:0000891	229	Cervical ribs
HP:0000892	76	Bifid ribs
HP:0000896	51	Rib exostoses
HP:0000900	73	Thickened ribs
HP:0000910	136	Wide-cupped costochondral junctions
HP:0000912	119	Sprengel anomaly
HP:0000913	199	Posterior rib fusion
HP:0000914	229	Shield chest
HP:0000916	40	Broad clavicles
HP:0000938	229	Osteopenia
HP:0000941	229	Short diaphyses
HP:0000943	229	Dysostosis multiplex
HP:0000956	229	Acanthosis nigricans
HP:0000958	229	Dry skin
HP:0000960	94	Sacral dimple
HP:0000963	229	Thin skin
HP:0000965	229	Cutis marmorata
HP:0000967	229	Petechiae
HP:0000970	229	Anhidrosis
HP:0000976	229	Eczematoid dermatitis
HP:0000978	110	Bruising susceptibility
HP:0000982	229	Palmoplantar keratoderma
HP:0000997	153	Axillary freckling
HP:0000999	229	Pyoderma
HP:0001003	229	Multiple lentigines
HP:0001008	165	Accumulation of melanosomes in melanocytes
HP:0001013	118	Eruptive xanthomas
HP:0001017	48	Anemic pallor
HP:0001022	229	Albinism
HP:0001026	85	Penetrating foot ulcers
HP:0001029	229	Poikiloderma
HP:0001033	78	Facial flushing after alcohol intake
HP:0001038	78	Warfarin-induced skin necrosis
HP:0001039	229	Atheroeruptive xanthoma
HP:0001040	77	Multiple pterygia
HP:0001041	229	Facial erythema
HP:0001046	169	Intermittent jaundice
HP:0001050	229	Plethora
HP:0001054	229	Numerous nevi
HP:0001055	229	Erysipelas
HP:0001056	229	Milia
HP:0001058	229	Poor wound healing
HP:0001062	229	Atypical nevus
HP:0001063	207	Acrocyanosis
HP:0001065	229	Striae distensae
HP:0001069	79	Episodic hyperhidrosis
HP:0001071	229	Angiokeratoma corporis diffusum
HP:0001082	229	Cholecystitis
HP:0001084	122	Corneal arcus
HP:0001085	229	Papilledema
HP:0001092	59	Absent lacrimal punctum
HP:0001093	229	Optic nerve dysplasia
HP:0001094	229	Iridocyclitis
HP:0001095	229	Hypertensive retinopathy
HP:0001097	229	Keratoconjunctivitis sicca
HP:0001099	229	Fundus atrophy
HP:0001101	229	Iritis
HP:0001104	229	Macular hypoplasia
HP:0001106	130	Periorbital hyperpigmentation
HP:0001107	229	Ocular albinism
HP:0001112	229	Leber optic atrophy
HP:0001114	229	Xanthelasma
HP:0001115	170	Posterior polar cataract
HP:0001116	37	Macular coloboma
HP:0001117	229	Sudden loss of visual acuity
HP:0001118	229	Juvenile cataract
HP:0001119	229	Keratoglobus
HP:0001126	105	Cryptophthalmos
HP:0001128	229	Trichiasis
HP:0001129	104	Large central visual field defect
HP:0001135	229	Chorioretinal dystrophy
HP:0001136	147	Retinal arteriolar tortuosity
HP:0001137	201	Alternating esotropia
HP:0001140	103	Limbal dermoid
HP:0001141	229	Severely reduced visual acuity
HP:0001149	229	Lattice corneal dystrophy
HP:0001166	229	Arachnodactyly
HP:0001169	229	Broad palm
HP:0001171	229	Split hand
HP:0001176	229	Large hands
HP:0001177	171	Preaxial hand polydactyly
HP:0001178	76	Ulnar claw
HP:0001181	229	Adducted thumb
HP:0001182	172	Tapered finger
HP:0001188	229	Hand clenching
HP:0001195	229	Single umbilical artery
HP:0001196	229	Short umbilical cord
HP:0001225	229	Wrist swelling
HP:0001256	229	Intellectual disability, mild
HP:0001262	229	Excessive daytime somnolence
HP:0001264	229	Spastic diplegia
HP:0001271	229	Polyneuropathy
HP:0001281	229	Tetany
HP:0001283	229	Bulbar palsy
HP:0001285	229	Spastic tetraparesis
HP:0001304	229	Torsion dystonia
HP:0001305	229	Dandy-Walker malformation
HP:0001308	229	Tongue fasciculations
HP:0001312	91	Giant somatosensory evoked potentials
HP:0001325	229	Hypoglycemic coma
HP:0001334	229	Communicating hydrocephalus
HP:0001338	229	Partial agenesis of the corpus callosum
HP:0001341	229	Olfactory lobe agenesis
HP:0001343	229	Kernicterus
HP:0001344	229	Absent speech
HP:0001348	223	Brisk reflexes
HP:0001362	229	Calvarial skull defect
HP:0001385	229	Hip dysplasia
HP:0001386	229	Joint swelling
HP:0001401	229	Intrahepatic biliary dysgenesis
HP:0001402	229	Hepatocellular carcinoma
HP:0001403	229	Macrovesicular hepatic steatosis
HP:0001404	229	Hepatocellular necrosis
HP:0001405	229	Periportal fibrosis
HP:0001408	229	Bile duct proliferation
HP:0001413	120	Micronodular cirrhosis
HP:0001414	229	Microvesicular hepatic steatosis
HP:0001433	229	Hepatosplenomegaly
HP:0001489	229	Posterior vitreous detachment
HP:0001491	185	Congenital fibrosis of extraocular muscles
HP:0001501	229	6 metacarpals
HP:0001518	229	Small for gestational age
HP:0001520	229	Large for gestational age
HP:0001525	229	Severe failure to thrive
HP:0001530	229	Mild postnatal growth retardation
HP:0001531	229	Failure to thrive in infancy
HP:0001533	138	Slender build
HP:0001537	229	Umbilical hernia
HP:0001538	72	Protuberant abdomen
HP:0001539	229	Omphalocele
HP:0001540	210	Diastasis recti
HP:0001543	229	Gastroschisis
HP:0001548	229	Overgrowth
HP:0001555	163	Asymmetry of the thorax
HP:0001561	229	Polyhydramnios
HP:0001562	229	Oligohydramnios
HP:0001563	64	Fetal polyuria
HP:0001579	229	Primary hypercortisolism
HP:0001583	229	Rotary nystagmus
HP:0001586	229	Vesicovaginal fistula
HP:0001591	43	Bell-shaped thorax
HP:0001592	229	Selective tooth agenesis
HP:0001601	229	Laryngomalacia
HP:0001607	229	Subglottic stenosis
HP:0001611	229	Nasal speech
HP:0001612	104	Weak cry
HP:0001620	229	High pitched voice
HP:0001621	229	Weak voice
HP:0001640	229	Cardiomegaly
HP:0001644	229	Dilated cardiomyopathy
HP:0001645	229	Sudden cardiac death
HP:0001648	229	Cor pulmonale
HP:0001650	229	Aortic valve stenosis
HP:0001653	229	Mitral regurgitation
HP:0001655	229	Patent foramen ovale
HP:0001658	229	Myocardial infarction
HP:0001659	229	Aortic regurgitation
HP:0001663	229	Ventricular fibrillation
HP:0001664	229	Torsade de pointes
HP:0001667	229	Right ventricular hypertrophy
HP:0001670	229	Asymmetric septal hypertrophy
HP:0001674	229	Complete atrioventricular canal defect
HP:0001681	229	Angina pectoris
HP:0001684	229	Secundum atrial septal defect
HP:0001686	229	Loss of voice
HP:0001688	229	Sinus bradycardia
HP:0001694	229	Right-to-left shunt
HP:0001696	229	Situs inversus totalis
HP:0001700	229	Myocardial necrosis
HP:0001704	229	Tricuspid valve prolapse
HP:0001705	229	Right ventricular outlet tract obstruction
HP:0001706	229	Endocardial fibroelastosis
HP:0001708	229	Right ventricular failure
HP:0001716	229	Wolff-Parkinson-White syndrome
HP:0001717	229	Coronary artery calcification
HP:0001722	229	High-output congestive heart failure
HP:0001723	229	Restrictive cardiomyopathy
HP:0001727	229	Thromboembolic stroke
HP:0001734	229	Annular pancreas
HP:0001735	229	Acute pancreatitis
HP:0001737	229	Pancreatic cysts
HP:0001738	229	Exocrine pancreatic insufficiency
HP:0001741	229	Phimosis
HP:0001742	229	Nasal congestion
HP:0001746	229	Asplenia
HP:0001747	229	Accessory spleen
HP:0001748	229	Polysplenia
HP:0001757	229	High-frequency sensorineural hearing impairment
HP:0001765	229	Hammertoe
HP:0001769	229	Broad foot
HP:0001771	168	Achilles tendon contracture
HP:0001772	229	Talipes equinovalgus
HP:0001773	229	Short foot
HP:0001775	229	Tarsal osteovalgus
HP:0001785	229	Ankle swelling
HP:0001786	229	Narrow foot
HP:0001790	229	Nonimmune hydrops fetalis
HP:0001791	229	Fetal ascites
HP:0001799	229	Short nail
HP:0001803	38	Nail pits
HP:0001807	206	Ridged nail
HP:0001808	37	Fragile nails
HP:0001809	229	Split nail
HP:0001810	229	Dystrophic toenail
HP:0001818	229	Paronychia
HP:0001820	132	Leukonychia
HP:0001821	229	Broad nail
HP:0001822	229	Hallux valgus
HP:0001833	229	Long foot
HP:0001838	229	Rocker bottom foot
HP:0001839	229	Split foot
HP:0001840	229	Metatarsus adductus
HP:0001845	229	Overlapping toe
HP:0001847	229	Long hallux
HP:0001882	229	Leukopenia
HP:0001886	229	Foot osteomyelitis
HP:0001890	229	Autoimmune hemolytic anemia
HP:0001894	229	Thrombocytosis
HP:0001895	229	Normochromic anemia
HP:0001896	186	Reticulocytopenia
HP:0001897	229	Normocytic anemia
HP:0001898	229	Increased red blood cell mass
HP:0001899	229	Increased hematocrit
HP:0001900	229	Increased hemoglobin
HP:0001902	229	Giant platelets
HP:0001915	229	Aplastic anemia
HP:0001919	229	Acute kidney injury
HP:0001920	229	Renal artery stenosis
HP:0001922	229	Vacuolated lymphocytes
HP:0001923	229	Reticulocytosis
HP:0001927	229	Acanthocytosis
HP:0001929	229	Reduced factor XI activity
HP:0001930	229	Nonspherocytic hemolytic anemia
HP:0001934	229	Persistent bleeding after trauma
HP:0001937	229	Microangiopathic hemolytic anemia
HP:0001950	229	Respiratory alkalosis
HP:0001953	229	Diabetic ketoacidosis
HP:0001955	229	Unexplained fevers
HP:0001958	93	Nonketotic hypoglycemia
HP:0001959	229	Polydipsia
HP:0001962	229	Palpitations
HP:0001963	229	Abnormal speech discrimination
HP:0001967	113	Diffuse mesangial sclerosis
HP:0001971	229	Hypersplenism
HP:0001973	229	Autoimmune thrombocytopenia
HP:0001975	229	Decreased platelet glycoprotein IIb-IIIa
HP:0001976	229	Reduced antithrombin III activity
HP:0001978	229	Extramedullary hematopoiesis
HP:0001980	223	Megaloblastic bone marrow
HP:0001981	64	Schistocytosis
HP:0001985	209	Hypoketotic hypoglycemia
HP:0001989	45	Fetal akinesia sequence
HP:0001994	229	Renal Fanconi syndrome
HP:0001996	229	Chronic metabolic acidosis
HP:0001998	229	Neonatal hypoglycemia
HP:0002000	154	Short columella
HP:0002003	229	Large forehead
HP:0002007	229	Frontal bossing
HP:0002009	157	Potter facies
HP:0002010	229	Narrow maxilla
HP:0002020	229	Gastroesophageal reflux
HP:0002021	229	Pyloric stenosis
HP:0002023	229	Anal atresia
HP:0002025	229	Anal stenosis
HP:0002028	229	Chronic diarrhea
HP:0002033	77	Poor suck
HP:0002036	229	Hiatus hernia
HP:0002038	229	Protein avoidance
HP:0002039	229	Anorexia
HP:0002040	229	Esophageal varix
HP:0002041	229	Intractable diarrhea
HP:0002043	229	Esophageal stricture
HP:0002044	229	Zollinger-Ellison syndrome
HP:0002046	229	Heat intolerance
HP:0002047	229	Malignant hyperthermia
HP:0002048	229	Renal cortical atrophy
HP:0002058	83	Myopathic facies
HP:0002067	229	Bradykinesia
HP:0002068	229	Neuromuscular dysphagia
HP:0002070	229	Limb ataxia
HP:0002073	229	Progressive cerebellar ataxia
HP:0002077	229	Migraine with aura
HP:0002080	229	Intention tremor
HP:0002083	229	Migraine without aura
HP:0002085	229	Occipital encephalocele
HP:0002089	229	Pulmonary hypoplasia
HP:0002091	229	Restrictive ventilatory defect
HP:0002100	229	Recurrent aspiration pneumonia
HP:0002102	229	Pleuritis
HP:0002105	229	Hemoptysis
HP:0002110	229	Bronchiectasis
HP:0002127	229	Abnormal upper motor neuron morphology
HP:0002131	229	Episodic ataxia
HP:0002132	134	Porencephalic cyst
HP:0002135	229	Basal ganglia calcification
HP:0002138	229	Subarachnoid hemorrhage
HP:0002139	229	Arrhinencephaly
HP:0002141	229	Gait imbalance
HP:0002144	229	Tethered cord
HP:0002149	229	Hyperuricemia
HP:0002150	229	Hypercalciuria
HP:0002152	162	Hyperproteinemia
HP:0002153	229	Hyperkalemia
HP:0002156	229	Homocystinuria
HP:0002159	62	Heparan sulfate excretion in urine
HP:0002160	92	Hyperhomocystinemia
HP:0002162	70	Low posterior hairline
HP:0002168	229	Scanning speech
HP:0002173	229	Hypoglycemic seizures
HP:0002181	229	Cerebral edema
HP:0002183	229	Phonophobia
HP:0002185	229	Neurofibrillary tangles
HP:0002187	229	Intellectual disability, profound
HP:0002188	229	Delayed CNS myelination
HP:0002190	229	Choroid plexus cyst
HP:0002193	51	Pseudobulbar behavioral symptoms
HP:0002195	229	Dysgenesis of the cerebellar vermis
HP:0002199	146	Hypocalcemic seizures
HP:0002203	229	Respiratory paralysis
HP:0002207	229	Diffuse reticular or finely nodular infiltrations
HP:0002208	228	Coarse hair
HP:0002211	58	White forelock
HP:0002212	229	Curly hair
HP:0002213	229	Fine hair
HP:0002223	76	Absent eyebrow
HP:0002226	113	White eyebrow
HP:0002227	50	White eyelashes
HP:0002230	229	Generalized hirsutism
HP:0002231	111	Sparse body hair
HP:0002234	229	Early balding
HP:0002243	229	Protein-losing enteropathy
HP:0002245	229	Meckel diverticulum
HP:0002247	229	Duodenal atresia
HP:0002248	229	Hematemesis
HP:0002249	229	Melena
HP:0002253	229	Colonic diverticula
HP:0002254	229	Intermittent diarrhea
HP:0002267	229	Exaggerated startle response
HP:0002268	229	Paroxysmal dystonia
HP:0002280	122	Enlarged cisterna magna
HP:0002283	229	Global brain atrophy
HP:0002286	229	Fair hair
HP:0002287	229	Progressive alopecia
HP:0002289	229	Alopecia universalis
HP:0002290	116	Poliosis
HP:0002292	229	Frontal balding
HP:0002296	229	Progressive hypotrichosis
HP:0002297	229	Red hair
HP:0002300	229	Mutism
HP:0002307	229	Drooling
HP:0002310	229	Orofacial dyskinesia
HP:0002312	229	Clumsiness
HP:0002314	208	Degeneration of the lateral corticospinal tracts
HP:0002326	229	Transient ischemic attack
HP:0002330	49	Paroxysmal drowsiness
HP:0002331	122	Recurrent paroxysmal headache
HP:0002333	229	Motor deterioration
HP:0002335	229	Agenesis of cerebellar vermis
HP:0002339	229	Abnormal caudate nucleus morphology
HP:0002340	229	Caudate atrophy
HP:0002341	229	Cervical cord compression
HP:0002342	229	Intellectual disability, moderate
HP:0002355	229	Difficulty walking
HP:0002356	229	Writer's cramp
HP:0002359	229	Frequent falls
HP:0002361	229	Psychomotor deterioration
HP:0002365	229	Hypoplasia of the brainstem
HP:0002366	229	Abnormal lower motor neuron morphology
HP:0002367	229	Visual hallucinations
HP:0002371	229	Loss of speech
HP:0002378	229	Hand tremor
HP:0002389	229	Cavum septum pellucidum
HP:0002390	229	Spinal arteriovenous malformation
HP:0002392	72	EEG with polyspike wave complexes
HP:0002396	229	Cogwheel rigidity
HP:0002398	229	Degeneration of anterior horn cells
HP:0002401	229	Stroke-like episode
HP:0002403	50	Positive Romberg sign
HP:0002408	229	Cerebral arteriovenous malformation
HP:0002410	229	Aqueductal stenosis
HP:0002416	106	Subependymal cysts
HP:0002419	168	Molar tooth sign on MRI
HP:0002421	229	Poor head control
HP:0002423	148	Long-tract signs
HP:0002425	142	Anarthria
HP:0002427	229	Expressive aphasia
HP:0002442	229	Dyscalculia
HP:0002444	229	Hypothalamic hamartoma
HP:0002448	229	Progressive encephalopathy
HP:0002464	229	Spastic dysarthria
HP:0002465	229	Poor speech
HP:0002470	132	Nonprogressive cerebellar ataxia
HP:0002478	229	Progressive spastic quadriplegia
HP:0002483	229	Bulbar signs
HP:0002487	229	Hyperkinetic movements
HP:0002490	229	Increased CSF lactate
HP:0002491	40	Spasticity of facial muscles
HP:0002494	229	Abnormal rapid eye movement sleep
HP:0002497	229	Spastic ataxia
HP:0002504	110	Calcification of the small brain vessels
HP:0002507	229	Semilobar holoprosencephaly
HP:0002508	229	Brainstem dysplasia
HP:0002510	229	Spastic tetraplegia
HP:0002511	229	Alzheimer disease
HP:0002512	229	Brain stem compression
HP:0002515	229	Waddling gait
HP:0002516	229	Increased intracranial pressure
HP:0002519	229	Hypnagogic hallucinations
HP:0002521	229	Hypsarrhythmia
HP:0002524	229	Cataplexy
HP:0002527	229	Falls
HP:0002528	105	Granulovacuolar degeneration
HP:0002529	229	Neuronal loss in central nervous system
HP:0002530	229	Axial dystonia
HP:0002542	229	Olivopontocerebellar atrophy
HP:0002544	229	Retrocollis
HP:0002546	42	Incomprehensible speech
HP:0002548	37	Parkinsonism with favorable response to dopaminergic medication
HP:0002549	229	Deficit in phonologic short-term memory
HP:0002552	120	Trichodysplasia
HP:0002555	44	Absent pubic hair
HP:0002557	64	Hypoplastic nipples
HP:0002558	94	Supernumerary nipple
HP:0002563	229	Constrictive pericarditis
HP:0002570	229	Steatorrhea
HP:0002571	229	Achalasia
HP:0002572	229	Episodic vomiting
HP:0002573	229	Hematochezia
HP:0002574	229	Episodic abdominal pain
HP:0002575	229	Tracheoesophageal fistula
HP:0002578	229	Gastroparesis
HP:0002580	229	Volvulus
HP:0002582	229	Atrophic gastritis
HP:0002587	147	Projectile vomiting
HP:0002588	229	Duodenal ulcer
HP:0002590	229	Paralytic ileus
HP:0002591	229	Polyphagia
HP:0002592	229	Gastric ulcer
HP:0002593	229	Intestinal lymphangiectasia
HP:0002594	229	Pancreatic hypoplasia
HP:0002604	229	Gastrointestinal telangiectasia
HP:0002608	229	Celiac disease
HP:0002612	229	Congenital hepatic fibrosis
HP:0002613	229	Biliary cirrhosis
HP:0002614	168	Hepatic periportal necrosis
HP:0002616	229	Aortic root aneurysm
HP:0002635	125	Type IV atherosclerotic lesion
HP:0002638	229	Superficial thrombophlebitis
HP:0002639	229	Budd-Chiari syndrome
HP:0002641	229	Peripheral thrombosis
HP:0002645	129	Wormian bones
HP:0002653	229	Bone pain
HP:0002654	229	Multiple epiphyseal dysplasia
HP:0002655	229	Spondyloepiphyseal dysplasia
HP:0002656	229	Epiphyseal dysplasia
HP:0002657	109	Spondylometaphyseal dysplasia
HP:0002661	229	Painless fractures due to injury
HP:0002667	229	Nephroblastoma
HP:0002669	229	Osteosarcoma
HP:0002676	81	Cloverleaf skull
HP:0002677	196	Small foramen magnum
HP:0002678	229	Skull asymmetry
HP:0002682	229	Broad skull
HP:0002684	229	Thickened calvaria
HP:0002688	46	Absent frontal sinuses
HP:0002690	212	Large sella turcica
HP:0002691	212	Platybasia
HP:0002697	76	Parietal foramina
HP:0002700	187	Large foramen magnum
HP:0002705	183	High, narrow palate
HP:0002714	64	Downturned corners of mouth
HP:0002724	229	Recurrent Aspergillus infections
HP:0002725	229	Systemic lupus erythematosus
HP:0002726	229	Recurrent Staphylococcus aureus infections
HP:0002729	229	Follicular hyperplasia
HP:0002732	229	Lymph node hypoplasia
HP:0002737	229	Thick skull base
