Id;Phenotype;Def
HP:0000295;Doll-like facies;A characteristic facial appearance with a round facial form, full cheeks, a short nose, and a relatively small chin. [HPO:probinson]
HP:0000297;Facial hypotonia;Reduced muscle tone of a muscle that is innervated by the facial nerve (the seventh cranial nerve). [HPO:probinson]
HP:0000298;Mask-like facies;A lack of facial expression often with staring eyes and a slightly open mouth. [HPO:probinson]
HP:0000300;Oval face;A face with a rounded and slightly elongated outline. [HPO:probinson]
HP:0000303;Mandibular prognathia;Abnormal prominence of the chin related to increased length of the mandible. [HPO:probinson]
HP:0000307;Pointed chin;A marked tapering of the lower face to the chin. [PMID:19125436]
HP:0000308;Microretrognathia;A form of developmental hypoplasia of the mandible in which the mandible is mislocalised posteriorly. [HPO:probinson]
HP:0000311;Round face;The facial appearance is more circular than usual as viewed from the front. [PMID:19125436]
HP:0000316;Hypertelorism;Interpupillary distance more than 2 SD above the mean (alternatively, the appearance of an increased interpupillary distance or widely spaced eyes). [PMID:19125427]
HP:0000317;Facial myokymia;Facial myokymia is a fine fibrillary activity of one or more muscles innervated by the facial nerve (the seventh cranial nerve). [HPO:curators]
HP:0000319;Smooth philtrum;Flat skin surface, with no ridge formation in the central region of the upper lip between the nasal base and upper vermilion border. [PMID:19152422]
HP:0000320;Bird-like facies;
HP:0000321;Square face;Facial contours, as viewed from the front, show a broad upper face/cranium and lower face/mandible, creating a square appearance. [PMID:19125436]
HP:0000322;Short philtrum;Distance between nasal base and midline upper lip vermilion border more than 2 SD below the mean. Alternatively, an apparently decreased distance between nasal base and midline upper lip vermilion border. [PMID:19152422]
HP:0000325;Triangular face;Facial contour, as viewed from the front, triangular in shape, with breadth at the temples and tapering to a narrow chin. [DDD:jclayton-smith, PMID:19125436]
HP:0000331;Short chin;Decreased vertical distance from the vermilion border of the lower lip to the inferior-most point of the chin. [HPO:probinson, PMID:19125436]
HP:0000337;Broad forehead;"Width of the forehead or distance between the frontotemporales is more than two standard deviations above the mean (objective); or apparently increased distance between the two sides of the forehead. [PMID:19125436]"
HP:0000338;Hypomimic face;A reduced degree of motion of the muscles beneath the skin of the face, often associated with reduced facial crease formation. [HPO:probinson]
HP:0000339;Pugilistic facies;Coarse facial features reminiscent of those of a boxer. [HPO:probinson]
HP:0000340;Sloping forehead;"Inclination of the anterior surface of the forehead from the vertical more than two standard deviations above the mean (objective); or apparently excessive posterior sloping of the forehead in a lateral view. [PMID:19125436]"
HP:0000341;Narrow forehead;"Width of the forehead or distance between the frontotemporales is more than two standard deviations below the mean (objective); or apparently narrow intertemporal region (subjective). [PMID:19125436]"
HP:0000343;Long philtrum;Distance between nasal base and midline upper lip vermilion border more than 2 SD above the mean. Alternatively, an apparently increased distance between nasal base and midline upper lip vermilion border. [PMID:19152422]
HP:0000346;Whistling appearance;An abnormality of facial morphology characterized by a small mouth opening and constant contraction of the lips as if the patient were whistling. [HPO:probinson, PMID:856233]
HP:0000348;High forehead;An abnormally increased height of the forehead. [HPO:probinson]
HP:0000349;Widow's peak;Frontal hairline with bilateral arcs to a low point in the midline of the forehead. [PMID:19125436]
HP:0000350;Small forehead;The presence of a forehead that is abnormally small. [HPO:curators]
HP:0000362;Otosclerosis;In otosclerosis, a callus of bone accumulates on the stapes creating a partial fixation. This limits the movement of the stapes bone, which results in hearing loss. [HPO:probinson, PMID:15931303]
HP:0000368;Low-set, posteriorly rotated ears;Ears that are low-set (HP:0000369) and posteriorly rotated (HP:0000358). [HPO:probinson]
HP:0000371;Acute otitis media;Acute otitis media is a short and generally painful infection of the middle ear. [HPO:probinson]
HP:0000376;Incomplete partition of the cochlea type II;"With incomplete partition II, the cochlea consists of 1.5 turns; the apical and middle cochlea turns are undifferentiated and form a cystic apex. The vestibule is normal while the vestibular aqueduct is always enlarged. Developmental arrest occurs at the seventh week of gestation. [HPO:probinson, PMID:21849370, PMID:34698066]"
HP:0000378;Cupped ear;Laterally protruding ear that lacks antihelical folding (including absence of inferior and superior crura). [HPO:probinson, PMID:19162421, PMID:22073081]
HP:0000384;Preauricular skin tag;A rudimentary tag of skin often containing ear tissue including a core of cartilage and located just anterior to the auricle (outer part of the ear). [HPO:probinson]
HP:0000385;Small earlobe;Reduced volume of the earlobe. [HPO:probinson, PMID:19152421]
HP:0000387;Absent earlobe;Absence of fleshy non-cartilaginous tissue inferior to the tragus and incisura. [HPO:probinson, PMID:19152421]
HP:0000389;Chronic otitis media;Chronic otitis media refers to fluid, swelling, or infection of the middle ear that does not heal and may cause permanent damage to the ear. [HPO:probinson]
HP:0000391;Thickened helices;Increased thickness of the helix of the ear. [HPO:probinson]
HP:0000394;Lop ear;Anterior and inferior folding of the upper portion of the ear that obliterates triangular fossa and scapha. [HPO:probinson, PMID:19152421]
HP:0000395;Prominent antihelix;The presence of an abnormally prominent antihelix. [HPO:probinson]
HP:0000399;Prelingual sensorineural hearing impairment;A form of sensorineural deafness with either congenital onset or infantile onset, i.e., before the acquisition of speech. [HPO:probinson]
HP:0000403;Recurrent otitis media;Increased susceptibility to otitis media, as manifested by recurrent episodes of otitis media. [HPO:probinson]
HP:0000408;Progressive sensorineural hearing impairment;A progressive form of sensorineural hearing impairment. [HPO:probinson]
HP:0000410;Mixed hearing impairment;A type of hearing loss resulting from a combination of conductive hearing impairment and sensorineural hearing impairment. [HPO:probinson]
HP:0000411;Protruding ear;"Angle formed by the plane of the ear and the mastoid bone greater than the 97th centile for age (objective); or, outer edge of the helix more than 2 cm from the mastoid at the point of maximum distance (objective). [PMID:19152421]"
HP:0000414;Bulbous nose;Increased volume and globular shape of the anteroinferior aspect of the nose. [PMID:19152422]
HP:0000417;Slender nose;
HP:0000418;Narrow nasal ridge;Decreased width of the nasal ridge. [PMID:19152422]
HP:0000420;Short nasal septum;Reduced superior to inferior length of the nasal septum. [HPO:probinson]
HP:0000426;Prominent nasal bridge;Anterior positioning of the nasal root in comparison to the usual positioning for age. [PMID:19152422]
HP:0000430;Underdeveloped nasal alae;Thinned, deficient, or excessively arched ala nasi. [PMID:19152422]
HP:0000431;Wide nasal bridge;Increased breadth of the nasal bridge (and with it, the nasal root). [HPO:probinson, PMID:19152422]
HP:0000434;Nasal mucosa telangiectasia;Telangiectasia of the nasal mucosa. [HPO:probinson]
HP:0000437;Depressed nasal tip;Decreased distance from the nasal tip to the nasal base. [PMID:19152422]
HP:0000444;Convex nasal ridge;Nasal ridge curving anteriorly to an imaginary line that connects the nasal root and tip. The nose appears often also prominent, and the columella low. [PMID:19152422]
HP:0000445;Wide nose;Interalar distance more than two standard deviations above the mean for age, i.e., an apparently increased width of the nasal base and alae. [PMID:19152422]
HP:0000446;Narrow nasal bridge;Decreased width of the bony bridge of the nose. [PMID:19152422]
HP:0000447;Pear-shaped nose;
HP:0000448;Prominent nose;Distance between subnasale and pronasale more than two standard deviations above the mean, or alternatively, an apparently increased anterior protrusion of the nasal tip. [PMID:19152422]
HP:0000451;Triangular nasal tip;
HP:0000454;Flared nostrils;
HP:0000455;Broad nasal tip;Increase in width of the nasal tip. [HPO:probinson, PMID:19152422]
HP:0000456;Bifid nasal tip;A splitting of the nasal tip. Visually assessable vertical indentation, cleft, or depression of the nasal tip. [HPO:sdoelken, PMID:19152422]
HP:0000457;Depressed nasal ridge;Lack of prominence of the nose resulting from a posteriorly-placed nasal ridge. [HPO:probinson, PMID:19152422]
HP:0000460;Narrow nose;Interalar distance more than 2 SD below the mean for age, or alternatively, an apparently decreased width of the nasal base and alae. [PMID:19152422]
HP:0000463;Anteverted nares;Anteriorly-facing nostrils viewed with the head in the Frankfurt horizontal and the eyes of the observer level with the eyes of the subject. This gives the appearance of an upturned nose (upturned nasal tip). [PMID:19152422]
HP:0000465;Webbed neck;Pterygium colli is a congenital skin fold that runs along the sides of the neck down to the shoulders. It involves an ectopic fibrotic facial band superficial to the trapezius muscle. Excess hair-bearing skin is also present and extends down the cervical region well beyond the normal hairline. [HPO:probinson, PMID:24523736]
HP:0000466;Limited neck range of motion;
HP:0000468;Increased adipose tissue around the neck;An increased amount of subcutaneous fat tissue around the neck. [HPO:probinson]
HP:0000470;Short neck;Diminished length of the neck. [HPO:probinson]
HP:0000471;Gastrointestinal angiodysplasia;Dysplasia affecting the vasculature of the gastrointestinal tract. [HPO:probinson]
HP:0000472;Long neck;Increased inferior-superior length of the neck. [HPO:probinson]
HP:0000474;Thickened nuchal skin fold;A thickening of the skin thickness in the posterior aspect of the fetal neck. A nuchal fold (NF) measurement is obtained in a transverse section of the fetal head at the level of the cavum septum pellucidum and thalami, angled posteriorly to include the cerebellum. The measurement is taken from the outer edge of the occiput bone to the outer skin limit directly in the midline. An NF measurement greater than 5 mm at 14 to 17+6 weeks of gestation, or 6 mm at 18 to 28 weeks has been associated with a markedly increased risk for Down syndrome. [HPO:probinson, PMID:16100637, PMID:30431620]
HP:0000475;Broad neck;Increased side-to-side width of the neck. [HPO:probinson]
HP:0000482;Microcornea;A congenital abnormality of the cornea in which the cornea and the anterior segment of the eye are smaller than normal. The horizontal diameter of the cornea does not reach 10 mm even in adulthood. [HPO:probinson]
HP:0000484;Hyperopic astigmatism;A form of astigmatism in which one meridian is hyperopic while the one at a right angle to it has no refractive error. [HPO:probinson]
HP:0000485;Megalocornea;An enlargement of the cornea with normal clarity and function. Megalocornea is diagnosed with a horizontal corneal diameter of 12 mm or more at birth or 13 mm or more after two years of age. [HPO:curators]
HP:0000490;Deeply set eye;An eye that is more deeply recessed into the plane of the face than is typical. [PMID:19125427]
HP:0000494;Downslanted palpebral fissures;The palpebral fissure inclination is more than two standard deviations below the mean. [PMID:19125427]
HP:0000495;Recurrent corneal erosions;The presence of recurrent corneal epithelial erosions. Although most corneal epithelial defects heal quickly, some may show recurrent ulcerations. [HPO:curators]
HP:0000497;Globe retraction and deviation on abduction;
HP:0000503;Tortuosity of conjunctival vessels;The presence of an increased number of twists and turns of the conjunctival blood vessels. [HPO:probinson]
HP:0000506;Telecanthus;"Distance between the inner canthi more than two standard deviations above the mean (objective); or, apparently increased distance between the inner canthi. [HPO:probinson]"
HP:0000519;Developmental cataract;A cataract that occurs congenitally as the result of a developmental defect, in contrast to the majority of cataracts that occur in adulthood as the result of degenerative changes of the lens. [HPO:probinson]
HP:0000522;Alacrima;Absence of tear secretion. [HPO:probinson]
HP:0000524;Conjunctival telangiectasia;The presence of small (ca. 0.5-1.0 mm) dilated blood vessels near the surface of the mucous membranes of the conjunctiva. [HPO:probinson]
HP:0000526;Aniridia;Abnormality of the iris characterized by, typically bilateral, complete or partial iris hypoplasia. The phenotype ranges from mild defects of anterior iris stroma only to almost complete absence of the iris. [HPO:probinson, PMID:24138039, PMID:25313118, PMID:29850208, UManchester:psergouniotis]
HP:0000531;Corneal crystals;
HP:0000537;Epicanthus inversus;A fold of skin starting at or just below the medial aspect of the lower lid and arching upward to cover, extend in front of and lateral to the medial canthus. [PMID:19125427]
HP:0000538;Pseudopapilledema;Apparent optic disc swelling in the absence of increased intracranial pressure. [HPO:probinson]
HP:0000542;Impaired ocular adduction;Reduced ability to move the eye in the direction of the nose. [HPO:probinson]
HP:0000550;Undetectable electroretinogram;Lack of any response to stimulation upon electroretinography. [HPO:probinson]
HP:0000552;Tritanomaly;Difficulty distinguishing between yellow and blue, possible related to dysfunction of the S photopigment. [HPO:probinson]
HP:0000555;Leukocoria;An abnormal white reflection from the pupil rather than the usual black reflection. [HPO:probinson]
HP:0000557;Buphthalmos;Diffusely large eye (with megalocornea) associated with glaucoma. []
HP:0000558;Rieger anomaly;A congenital malformation of the anterior segment characterized by iridicorneal malformation, glaucoma, iris stroma hypoplasia, posterior embryotoxon, and corneal opacities. [HPO:probinson]
HP:0000559;Corneal scarring;
HP:0000563;Keratoconus;A cone-shaped deformity of the cornea characterized by the presence of corneal distortion secondary to thinning of the apex. [HPO:probinson, PMID:7767020]
HP:0000564;Lacrimal duct atresia;A developmental disorder of the lacrimal drainage system that most often affects the lacrimal ostium and resulting in non-opening of the nasolacrimal duct. It usually results from a non-canalization of the nasolacrimal duct. [HPO:probinson]
HP:0000574;Thick eyebrow;Increased density/number and/or increased diameter of eyebrow hairs. [PMID:19125427]
HP:0000576;Centrocecal scotoma;A scotoma (area of diminished vision within the visual field) located between the central point of fixation and the blind spot with a roughly horizontal oval shape. [HPO:probinson]
HP:0000582;Upslanted palpebral fissure;"The palpebral fissure inclination is more than two standard deviations above the mean for age (objective); or, the inclination of the palpebral fissure is greater than typical for age. [PMID:19125427]"
HP:0000584;Punctate corneal epithelial erosions;
HP:0000585;Band keratopathy;An abnormality of the cornea characterized by the deposition of calcium in a band across the central cornea, leading to decreased vision, foreign body sensation, and ocular irritation. [HPO:probinson]
HP:0000586;Shallow orbits;Reduced depth of the orbits associated with prominent-appearing ocular globes. [HPO:probinson]
HP:0000588;Optic disc coloboma;A cleft of the optic nerve that extends inferiorly. [HPO:probinson, PMID:16219745]
HP:0000590;Progressive external ophthalmoplegia;Initial bilateral ptosis followed by limitation of eye movements in all directions and slowing of saccades. [HPO:probinson]
HP:0000592;Blue sclerae;An abnormal bluish coloration of the sclera. [HPO:probinson]
HP:0000594;Shallow anterior chamber;Reduced depth of the anterior chamber, i.e., the anteroposterior distance between the cornea and the iris is decreased. [HPO:probinson]
HP:0000601;Hypotelorism;Interpupillary distance less than 2 SD below the mean (alternatively, the appearance of an decreased interpupillary distance or closely spaced eyes). [HPO:probinson, PMID:19125427]
HP:0000603;Central scotoma;An area of depressed vision located at the point of fixation and that interferes with central vision. [HPO:probinson]
HP:0000607;Periorbital wrinkles;
HP:0000612;Iris coloboma;A coloboma of the iris. [HPO:probinson, PMID:19369671]
HP:0000613;Photophobia;Excessive sensitivity to light with the sensation of discomfort or pain in the eyes due to exposure to bright light. [HPO:probinson]
HP:0000619;Impaired convergence;Reduced ability to turn the eyes inward in order to focus on a nearby object. [HPO:probinson]
HP:0000620;Dacryocystitis;Inflammation of the nasolacrimal sac. [HPO:probinson]
HP:0000623;Supranuclear ophthalmoplegia;A vertical gaze palsy with inability to direct the gaze of the eyes downwards. [HPO:probinson, PMID:20629667]
