phenotypeId	phenotypeName	numberPapers
HP:0040210	Abnormal circulating biopterin concentration	2
HP:0040206	Abnormal circulating neopterin concentration	6
HP:0001951	Episodic ammonia intoxication	3
HP:0410061	Increased level of galactitol in plasma	4
HP:0410064	Increased level of galactitol in red blood cells	2
HP:0012024	Hypergalactosemia	25
HP:0025550	Elevated circulating ribitol concentration	0
HP:0410050	Decreased level of 1,5 anhydroglucitol in serum	35
HP:0410057	Increased level of D-threitol in plasma	1
HP:0033124	Increased serum sorbitol concentration	97
HP:0500181	Hypertaurinemia	1
HP:0500182	Hypotaurinemia	4
HP:0008158	Hyperapobetalipoproteinemia	717
HP:0033341	Elevated circulating sitosterol concentration	13
HP:0033083	Increased circulating farnesol concentration	3
HP:0034291	Elevated circulating creatine concentration	103
HP:0012187	Increased erythrocyte protoporphyrin concentration	89
HP:0025498	Aceruloplasminemia	188
HP:0031085	Decreased prealbumin level	566
HP:0031029	Elevated carcinoembryonic antigen level	992
HP:0032025	Reduced serum alpha-1-antitrypsin	198
HP:0003238	Hyperpepsinogenemia I	2
HP:0031030	Elevated carcinoma antigen 125 level	384
HP:0032094	Increased circulating surfactant protein level	303
HP:0034371	Reduced circulating prekallikrein concentration	1
HP:0003333	Increased serum beta-hexosaminidase	328
HP:0012509	Reduced thyroxin-binding globulin	54
HP:0002152	Hyperproteinemia	169
HP:0410063	Increased level of galactonate in red blood cells	1
HP:0034290	Elevated circulating tiglylglycine concentration	0
HP:0032653	Elevated lactate:pyruvate ratio	166
HP:0012236	Elevated sweat chloride	120
HP:0012340	Decreased resting energy expenditure	999
HP:0005959	Impaired gluconeogenesis	999
HP:0008189	Insulin insensitivity	991
HP:0031883	Increased proinsulin:insulin ratio	94
HP:0002047	Malignant hyperthermia	688
HP:0002046	Heat intolerance	630
HP:0005968	Temperature instability	991
HP:0033104	Inappropriate absence of fever	72
HP:0030270	Elevated red cell adenosine deaminase level	18
HP:0030273	Reduced red cell adenosine deaminase level	22
HP:0025109	Reduced red cell pyruvate kinase level	43
HP:0032460	Decreased phosphoribosylpyrophosphate synthetase level	18
HP:0003240	Increased phosphoribosylpyrophosphate synthetase level	23
HP:0003210	Decreased methylmalonyl-CoA mutase activity	46
HP:0003536	Decreased fumarate hydratase activity	69
HP:0003209	Decreased pyruvate carboxylase activity	313
HP:0003206	Decreased activity of NADPH oxidase	1000
HP:0012544	Elevated aldolase level	151
HP:0012545	Reduced aldolase level	202
HP:0034203	Decreased iduronate sulfatase level	34
HP:0003538	Increased iduronate sulfatase level	39
HP:0410145	Decreased biotinidase level	19
HP:0031209	Decreased circulating lipoprotein lipase concentration	64
HP:0008150	Elevated serum transaminases during infections	999
HP:0031956	Elevated circulating aspartate aminotransferase concentration	59
HP:0200148	Abnormal liver function tests during pregnancy	970
HP:0031964	Elevated circulating alanine aminotransferase concentration	93
HP:0025435	Increased circulating lactate dehydrogenase concentration	168
HP:0030948	Elevated gamma-glutamyltransferase level	999
HP:0010998	Increased susceptibility to spontaneous sister chromatid exchange	3
HP:0003451	Increased rate of premature chromosome condensation	22
HP:0003213	Deficient excision of UV-induced pyrimidine dimers in DNA	63
HP:0003079	Defective DNA repair after ultraviolet radiation damage	166
HP:0003352	Endopolyploidy on chromosome studies of bone marrow	0
HP:4000057	Decreased FasL-mediated apoptosis	83
HP:0003148	Elevated serum acid phosphatase	867
HP:0040139	Lipogranulomatosis	680
HP:0003264	Deficiency of N-acetylglucosamine-1-phosphotransferase	528
HP:0003657	Granular osmiophilic deposits (GROD) in cells	3
HP:0003214	Prolonged G2 phase of cell cycle	662
HP:0032639	Elevated leukocyte cystine	18
HP:0003208	Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	0
HP:0003226	Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	0
HP:0025632	Reduced reactive oxygen species production in neutrophils	1000
HP:0034369	Decreased level of coenzyme Q10 in skeletal muscle	61
HP:0030362	Reduced muscle carnitine level	438
HP:0012465	Elevated hepatic iron concentration	170
HP:0041048	Decreased expression of GPI-anchored proteins on the cell surface	121
HP:0033997	Perinuclear cardiomyocyte vacuolization	6
HP:0031319	Cardiomyocyte hypertrophy	967
HP:0031333	Myocardial sarcomeric disarray	140
HP:0031320	Cardiomyocyte mitochondrial proliferation	427
HP:0032228	Trichodiscoma	61
HP:0031454	Apocrine hidrocystoma	130
HP:0031405	Poroma	306
HP:0030410	Sebaceous gland carcinoma	835
HP:0030434	Pilomatrixoma	498
HP:0002552	Trichodysplasia	124
HP:0007500	Decreased number of sweat glands	48
HP:0032227	Sebaceous hyperplasia	404
HP:0009758	Pyramidal skinfold extending from the base to the top of the nails	0
HP:0002165	Pterygium of nails	37
HP:0030254	Nail bed hemorrhage	223
HP:0001232	Nail bed telangiectasia	7
HP:0033250	Nailfold capillary tortuosity	53
HP:0001808	Fragile nails	43
HP:0008396	Chronic monilial nail infection	75
HP:0030054	Perifollicular fibrosis	167
HP:0007468	Perifollicular hyperkeratosis	84
HP:0030764	Ochronosis	405
HP:0032007	Maceration	989
HP:0010648	Dermal translucency	42
HP:0030053	Stiff skin	972
HP:0032152	Keratosis pilaris	261
HP:0034067	Tonofilament clumping	31
HP:0001029	Poikiloderma	341
HP:0000958	Dry skin	683
HP:0100726	Kaposi's sarcoma	723
HP:0006755	Cutaneous leiomyosarcoma	231
HP:0007620	Cutaneous leiomyoma	338
HP:0030428	Cutaneous myxoma	181
HP:0031287	Seborrheic keratosis	670
HP:0200151	Cutaneous mastocytosis	758
HP:0025127	Actinic keratosis	710
HP:0031525	Keratoacanthoma	657
HP:0012035	Steatocystoma multiplex	92
HP:0007437	Multiple cutaneous leiomyomas	136
HP:0009593	Peripheral Schwannoma	922
HP:0009720	Adenoma sebaceum	728
HP:0006769	Myxoid subcutaneous tumors	194
HP:0030436	Fibrofolliculoma	225
HP:0007541	Frontal cutaneous lipoma	5
HP:0008757	Unilateral vocal cord paralysis	967
HP:0005244	Gastrointestinal infarctions	900
HP:0032043	Odynophagia	930
HP:0032448	Achlorhydria	327
HP:0002044	Zollinger-Ellison syndrome	485
HP:0030406	Primary peritoneal carcinoma	954
HP:0006723	Intestinal carcinoid	843
HP:0100245	Desmoid tumors	820
HP:0031524	Ampulla of Vater carcinoma	851
HP:0006719	Benign gastrointestinal tract tumors	989
HP:0100723	Gastrointestinal stroma tumor	702
HP:0032527	Inferiorly positioned umbilicus	3
HP:0001537	Umbilical hernia	740
HP:0001544	Prominent umbilicus	26
HP:0032277	Lozenge-shaped umbilicus	1
HP:0002836	Bladder exstrophy	775
HP:0001540	Diastasis recti	225
HP:0001543	Gastroschisis	874
HP:0006582	Reye syndrome-like episodes	1
HP:0006558	Decreased mitochondrial complex III activity in liver tissue	66
HP:0004396	Poor appetite	990
HP:0033628	Bowel irritability	894
HP:0002038	Protein avoidance	995
HP:0033589	Flatulence	897
HP:0033842	Early satiety	979
HP:0004395	Malnutrition	740
HP:0002039	Anorexia	815
HP:0012702	Tenesmus	623
HP:0012701	Bowel urgency	989
HP:0001791	Fetal ascites	752
HP:0100645	Cystocele	903
HP:0011854	Hemoperitoneum	742
HP:0005200	Retroperitoneal fibrosis	749
HP:0002725	Systemic lupus erythematosus	592
HP:0001890	Autoimmune hemolytic anemia	660
HP:0001973	Autoimmune thrombocytopenia	752
HP:0001904	Neutropenia in presence of anti-neutropil antibodies	0
HP:0000872	Hashimoto thyroiditis	896
HP:0002608	Celiac disease	735
HP:0031390	Reduced MHC II surface expression	530
HP:0031402	Reduced antigen-specific T cell proliferation	725
HP:0100778	Cryoglobulinemia	706
HP:0040187	Neonatal sepsis	877
HP:0002723	Absence of bactericidal oxidative respiratory burst in phagocytes	4
HP:0001983	Reduced lymphocyte surface expression of CD43	22
HP:0005363	Humoral immunodeficiency	976
HP:0002732	Lymph node hypoplasia	950
HP:0002840	Lymphadenitis	732
HP:0002849	Absence of lymph node germinal center	911
HP:0033581	Absent peripheral lymph nodes in presence of infection	6
HP:0030814	Orange discolored tonsils	1
HP:0011110	Recurrent tonsillitis	952
HP:0030813	Absent tonsils	125
HP:0030812	Enlarged tonsils	926
HP:0003759	Hypoplasia of lymphatic vessels	537
HP:0033986	Tortuous lymphatic vessels	51
HP:0006521	Pulmonary lymphangiectasia	188
HP:0032253	Eosinophilic granuloma	861
HP:0025616	Sterile abscess	777
HP:0030049	Brain abscess	708
HP:0100523	Liver abscess	640
HP:0005224	Rectal abscess	872
HP:0025044	Lung abscess	770
HP:0005989	Redundant neck skin	91
HP:0000472	Long neck	979
HP:0002162	Low posterior hairline	73
HP:0000470	Short neck	971
HP:0000465	Webbed neck	214
HP:0000468	Increased adipose tissue around the neck	8
HP:0000475	Broad neck	978
HP:0001043	Prominent scalp veins	31
HP:0100809	Scalp tenderness	245
HP:0010541	Cutis gyrata of scalp	81
HP:0031386	Increased micromegakaryocyte count	9
HP:0031689	Megakaryocyte dysplasia	170
HP:0031385	Megakaryocyte nucleus hypolobulation	1
HP:0034010	Increased megakaryocyte colony forming unit count	213
HP:0005513	Increased megakaryocyte count	829
HP:0005548	Megakaryocytopenia	6
HP:0012136	Dysplastic granulopoesis	0
HP:0031160	Myelokathexis	128
HP:0410253	Myeloid maturation arrest	285
HP:0033607	Bone marrow arrest at the promyelocytic stage	45
HP:0011974	Myelofibrosis	665
HP:0031020	Bone marrow hypercellularity	972
HP:0005528	Bone marrow hypocellularity	836
HP:0001980	Megaloblastic bone marrow	232
HP:0001896	Reticulocytopenia	190
HP:0001923	Reticulocytosis	373
HP:0020059	Increased red blood cell count	998
HP:0010971	Absence of Lutheran antigen on erythrocytes	4
HP:0020082	Heinz bodies	158
HP:0032550	Howell-Jolly bodies	236
HP:0020081	Pappenheimer bodies	9
HP:0004823	Anisopoikilocytosis	41
HP:0020122	Bite cells	928
HP:0030058	Sickled erythrocytes	901
HP:0034280	Target cells	1000
HP:0032566	Oval macrocytosis	2
HP:0004839	Pyropoikilocytosis	47
HP:0004446	Stomatocytosis	184
HP:0001981	Schistocytosis	68
HP:0001927	Acanthocytosis	440
HP:0011905	Reduced hemoglobin A	966
HP:0012119	Methemoglobinemia	642
HP:0011904	Persistence of hemoglobin F	378
HP:0011903	HbH hemoglobin	351
HP:0040217	Elevated hemoglobin A1c	984
HP:0045048	Increased HbA2 hemoglobin	124
HP:0045047	HbS hemoglobin	989
HP:0001898	Increased red blood cell mass	1000
HP:0001900	Increased hemoglobin	995
HP:0025548	Increased mean corpuscular hemoglobin concentration	989
HP:0025547	Decreased mean corpuscular hemoglobin concentration	998
HP:0001899	Increased hematocrit	993
HP:0031851	Reduced hematocrit	990
HP:0033074	Steroid-responsive anemia	29
HP:0032231	Hypochromia	188
HP:0005505	Refractory anemia	790
HP:0025066	Decreased mean corpuscular volume	997
HP:0005518	Increased mean corpuscular volume	989
HP:0020062	Decreased hemoglobin concentration	998
HP:0020063	Increased hemoglobin concentration	997
HP:0012133	Erythroid hypoplasia	712
HP:0012410	Pure red cell aplasia	718
HP:0000978	Bruising susceptibility	118
HP:0007420	Spontaneous hematomas	858
HP:0011891	Post-partum hemorrhage	811
HP:0004846	Prolonged bleeding after surgery	995
HP:0006298	Prolonged bleeding after dental extraction	55
HP:0030137	Prolonged bleeding following circumcision	9
HP:0004406	Spontaneous, recurrent epistaxis	77
HP:0025328	Antepartum hemorrhage	981
HP:0005261	Joint hemorrhage	808
HP:0040232	Delayed onset bleeding	978
HP:0034192	Pulmonary thromboembolism	794
HP:0001727	Thromboembolic stroke	864
HP:0004831	Recurrent thromboembolism	863
HP:0005305	Cerebral venous thrombosis	758
HP:0001882	Leukopenia	818
HP:0001922	Vacuolated lymphocytes	839
HP:0002971	Absent microvilli on the surface of peripheral blood lymphocytes	0
HP:0003347	Impaired lymphocyte transformation with phytohemagglutinin	88
HP:0040249	Reduced plasminogen activator inhibitor 1 antigen	401
HP:0040247	Reduced euglobulin clot lysis time	187
HP:0040248	Reduced plasminogen activator inhibitor 1 activity	998
HP:0033106	Elevated circulating D-dimer concentration	29
HP:0012148	Multiple lineage myelodysplasia	14
HP:0045038	Gastric lymphoma	696
HP:0012189	Hodgkin lymphoma	731
HP:0005508	Monoclonal immunoglobulin M proteinemia	2
HP:0025035	Abnormal proerythroblast morphology	203
HP:0031688	Erythroid dysplasia	254
HP:0034278	Multinucleated erythroblast	22
HP:0032438	Platelet anisocytosis	46
HP:0031126	Impaired clot retraction	103
HP:0006765	Chondrosarcoma	902
HP:0010762	Chordoma	900
HP:0002669	Osteosarcoma	947
HP:0011847	Giant cell tumor of bone	848
HP:0030431	Osteochondroma	797
HP:0100522	Thymoma	887
HP:0010617	Cardiac fibroma	685
HP:0011672	Cardiac myxoma	686
HP:0009729	Cardiac rhabdomyoma	556
HP:0006756	Diffuse leiomyomatosis	133
HP:0020135	Myofibromatosis	270
HP:0030075	Ductal carcinoma in situ	815
HP:0010619	Fibroadenoma of the breast	896
HP:0006725	Pancreatic adenocarcinoma	889
HP:0100757	Pancreatoblastoma	223
HP:0012142	Pancreatic squamous cell carcinoma	959
HP:0030427	Ossifying fibroma of the jaw	308
HP:0100804	Ungual fibroma	27
HP:0009919	Retinoblastoma	828
HP:0002884	Hepatoblastoma	892
HP:0006743	Embryonal rhabdomyosarcoma	867
HP:0025197	Inclusion body fibromatosis	31
HP:0012315	Histiocytoma	636
HP:0012254	Ewing sarcoma	789
HP:0030731	Carcinoma	969
HP:0001054	Numerous nevi	340
HP:0011068	Odontoma	770
HP:0001963	Abnormal speech discrimination	988
HP:0040268	Recurrent infections of the middle ear	296
HP:0040262	Glue ear	815
HP:0032315	Areolar fullness	17
HP:0100853	Hypoplastic areola	55
HP:0100783	Breast aplasia	815
HP:0002558	Supernumerary nipple	96
HP:0003186	Inverted nipples	213
HP:0002562	Low-set nipples	27
HP:0004405	Prominent nipples	93
HP:0000877	Insulin-resistant diabetes mellitus at puberty	242
HP:0008205	Insulin-dependent but ketosis-resistant diabetes	976
HP:0500167	Hypergastrinemia	632
HP:0030353	Decreased serum insulin-like growth factor 1	1000
HP:0030269	Increased circulating insulin-like growth factor 1 concentration	784
HP:0030688	Increased glucagon level	1000
HP:0002920	Decreased circulating ACTH level	245
HP:0003154	Increased circulating ACTH level	496
HP:0031102	Increased antimullerian hormone level	1000
HP:0031103	Decreased antimullerian hormone level	1000
HP:0031100	Decreased inhibin B level	446
HP:0003164	Hypothalamic gonadotropin-releasing hormone deficiency	337
HP:0031208	Increased pituitary glycoprotein hormone alpha subunit level	133
HP:0003334	Elevated circulating catecholamine level	530
HP:0033644	Elevated circulating erythropoietin concentration	43
HP:0034323	Reduced circulating growth hormone concentration	474
HP:0000845	Elevated circulating growth hormone concentration	352
HP:0031429	Decreased circulating osteocalcin level	192
HP:0031428	Increased circulating osteocalcin level	304
HP:0030685	Decreased adiponectin level	998
HP:0040216	Hypoinsulinemia	522
HP:0034384	Elevated circulating insulin:C-peptide ratio	1
HP:0034289	Elevated circulating rT3/T3 ratio	0
HP:0034288	Elevated circulating reverse T3 concentration	8
HP:0031793	Increased serum leptin	997
HP:0033794	Acral overgrowth	22
HP:0007289	Limb fasciculations	222
HP:0030166	Night sweats	923
HP:0100247	Recurrent singultus	43
HP:0033834	Malaise	885
HP:0025406	Asthenia	913
HP:0100758	Gangrene	688
HP:0031352	Chest tightness	963
HP:0001686	Loss of voice	955
HP:0009088	Speech articulation difficulties	423
HP:0100271	Hyponasal speech	108
HP:0010300	Abnormally low-pitched voice	5
HP:0001611	Nasal speech	988
HP:0001621	Weak voice	925
HP:0001620	High pitched voice	633
HP:0001978	Extramedullary hematopoiesis	742
HP:0031169	Postterm pregnancy	767
HP:0032479	Preimplantation lethality	237
HP:0012155	Decreased corneal sensation	469
HP:0025401	Staring gaze	63
HP:0031590	Asthenopia	539
HP:0000667	Phthisis bulbi	420
HP:0031087	Absent pubertal growth spurt	15
HP:0009028	Generalized weakness of limb muscles	430
HP:0100553	Hemihypertrophy of lower limb	35
HP:0008959	Distal upper limb muscle weakness	372
HP:0006463	Rickets of the lower limbs	143
HP:0010497	Sirenomelia	819
HP:0001868	Autoamputation of foot	35
HP:0033666	Diminished physical functioning	999
HP:0025145	Rigors	858
HP:0012532	Chronic pain	771
HP:0033050	Pharyngalgia	674
HP:0030838	Hip pain	889
HP:0032147	Erythromelalgia	437
HP:0002653	Bone pain	838
HP:0030157	Flank pain	745
HP:0012533	Allodynia	980
HP:0031520	Groin pain	868
HP:0032510	Tendon pain	955
HP:0410019	Epigastric pain	853
HP:0200025	Mandibular pain	941
HP:0030834	Shoulder pain	826
HP:0040264	Jaw pain	909
HP:0030973	Postexertional symptom exacerbation	25
HP:0031061	Impaired toileting ability	74
HP:0031060	Impaired ability to dress oneself	1
HP:0033258	Sudden unexpected death in epilepsy	873
HP:0001645	Sudden cardiac death	652
HP:0012431	Episodic fatigue	979
HP:0012432	Chronic fatigue	943
HP:0100658	Cellulitis	645
HP:0006758	Malignant genitourinary tract tumor	866
HP:0006778	Benign genitourinary tract neoplasm	963
HP:0100721	Mediastinal lymphadenopathy	898
HP:0500018	Abnormal cardiac exercise stress test	939
HP:0033992	Chronotropic incompetence	422
HP:0031972	Presyncope	737
HP:0001681	Angina pectoris	565
HP:0025455	Decreased CSF 5-hydroxyindolacetic acid concentration	4
HP:0410075	Increased level of xylitol in CSF	0
HP:0009709	Increased CSF interferon alpha	682
HP:0410056	Decreased CSF erythritol concentration	0
HP:0033503	Elevated CSF fumarate concentration	2
HP:0032274	Increased CSF N-acetylaspartic acid concentration	23
HP:0410058	Increased level of D-threitol in CSF	0
HP:0410073	Increased level of ribose in CSF	16
HP:0410071	Increased level of ribitol in CSF	0
HP:0012446	Decreased CSF 5-methyltetrahydrofolate concentration	8
HP:0034283	Increased fecal protoporphyrin concentration	9
HP:0032484	Elevated fecal sodium	198
HP:0034043	Increased fecal bile acid	1000
HP:0034056	Increased fecal calprotectin level	608
HP:0011985	Acholic stools	95
HP:0025457	Decreased CSF protein concentration	1000
HP:0002922	Increased CSF protein concentration	1000
HP:0003529	Parathormone-independent increased renal tubular calcium reabsorption	0
HP:0003456	Low urinary cyclic AMP response to PTH administration	3
HP:0003565	Elevated erythrocyte sedimentation rate	990
HP:0025022	Decreased erythrocyte sedimentation rate	999
HP:4000041	AA amyloidosis	879
HP:0011970	Cerebral amyloid angiopathy	802
HP:0100292	Amyloidosis of peripheral nerves	289
HP:0003216	Generalized amyloid deposition	999
HP:0012280	Hepatic amyloidosis	430
HP:0004337	Abnormality of amino acid metabolism	984
HP:0033332	Elevated circulating amyloid A	133
HP:0031877	Elevated hepcidin level	548
HP:0011227	Elevated circulating C-reactive protein concentration	618
HP:0003281	Increased circulating ferritin concentration	152
HP:0410069	Increased level of propylene glycol in blood	87
HP:0032530	Decreased succinic semialdehyde dehydrogenase level	35
HP:0003258	Glyoxalase deficiency	71
HP:0034300	Decreased acid sphingomyelinase activity	370
HP:0034367	Decreased beta-mannosidase activity	85
HP:0034322	Reduced galactocerebrosidase activity	49
HP:0003353	Propionyl-CoA carboxylase deficiency	554
HP:0003533	Reduced acetaldehyde dehydrogenase level	82
HP:0012380	Reduced carnitine O-palmitoyltransferase level	307
HP:0002932	Aldehyde oxidase deficiency	110
HP:0034053	Decreased acid ceramidase activity	119
HP:0040142	Reduced 5-oxoprolinase level	2
HP:0003534	Reduced xanthine dehydrogenase level	196
HP:0012517	Reduced catalase level	1000
HP:0003654	Reduced dihydropyrimidine dehydrogenase level	77
HP:0031901	Elevated total serum tryptase	59
HP:0003655	Reduced level of N-acetylglucosaminyltransferase II	2
HP:0025130	Decreased small intestinal mucosa lactase level	28
HP:0031205	Reduced lysosomal acid lipase activity	357
HP:0003568	Decreased glucosephosphate isomerase level	71
HP:0040175	Platelet-activating factor acetylhydrolase deficiency	65
HP:0003349	Low cholesterol esterification rate	58
HP:0003343	Reduced glutathione synthetase level	1000
HP:0003524	Decreased methionine synthase activity	376
HP:0033978	Reduced beta-hexosaminidase activity	607
HP:0033597	Decreased mucosal sucrase-isomaltase activity	36
HP:0003656	Decreased beta-glucocerebrosidase level	171
HP:0003643	Sulfite oxidase deficiency	95
HP:0100950	Decreased 3-hydroxyacyl-CoA dehydrogenase level	115
HP:0003570	Molybdenum cofactor deficiency	129
HP:0003267	Reduced orotidine 5-prime phosphate decarboxylase level	0
HP:0003575	Increased intracellular sodium	1000
HP:0003224	Increased cellular sensitivity to UV light	1000
HP:0011133	Increased sensitivity to ionizing radiation	999
HP:0032571	Increased oocyte death	566
HP:0031864	Bacteremia	897
HP:0025321	Copper accumulation in liver	997
HP:0008167	Very long chain fatty acid accumulation	1000
HP:0045061	Decreased carnitine level in liver	870
HP:0007459	Generalized anhidrosis	239
HP:0000970	Anhidrosis	744
HP:0025278	Cold-induced sweating	50
HP:0001615	Hoarse cry	24
HP:0012049	Laryngeal dystonia	369
HP:0007024	Pseudobulbar paralysis	222
HP:0005934	Imperfect vocal cord adduction	1
HP:0031435	Monotonic speech	171
HP:0200046	Cat cry	55
HP:0001612	Weak cry	111
HP:0025431	Staccato cry	0
HP:0025430	High-pitched cry	50
HP:0004392	Prune belly	302
HP:0034361	Redundant umbilical skin	28
HP:0002578	Gastroparesis	807
HP:0025156	Dependency on intravenous nutrition	618
HP:0031500	Abdominal mass	928
HP:0033134	Abdominal adhesions	947
HP:0031501	Pelvic mass	962
HP:0005217	Duplication of internal organs	205
HP:0002958	Immune dysregulation	985
HP:0012129	Abnormality of bone marrow stromal cells	990
HP:0031965	Increased RBC distribution width	466
HP:0012134	Dysplastic erythropoesis	0
HP:0011273	Anisocytosis	376
HP:0030271	Reduced erythrocyte 2,3-diphosphoglycerate concentration	36
HP:0033281	Circulating nucleated red blood cells	329
HP:0011889	Bleeding with minor or no trauma	889
HP:0003010	Prolonged bleeding time	993
HP:0030140	Oral cavity bleeding	875
HP:0000225	Gingival bleeding	940
HP:0011888	Bleeding requiring red cell transfusion	999
HP:0030138	Excessive bleeding from superficial cuts	0
HP:0012541	Cephalohematoma	133
HP:0001934	Persistent bleeding after trauma	959
HP:0011884	Abnormal umbilical stump bleeding	4
HP:0000132	Menorrhagia	779
HP:0002641	Peripheral thrombosis	906
HP:0004420	Arterial thrombosis	826
HP:0003645	Prolonged partial thromboplastin time	976
HP:0100724	Hypercoagulability	860
HP:0005542	Prolonged whole-blood clotting time	488
HP:0006782	Malignant eosinophil proliferation	824
HP:0006775	Multiple myeloma	625
HP:0005502	Increased red cell osmotic fragility	495
HP:0005546	Increased red cell osmotic resistance	183
HP:0030766	Ear pain	823
HP:0031109	Agalactia	913
HP:0100829	Galactorrhea	609
HP:0032408	Breast mass	937
HP:0000771	Gynecomastia	658
HP:0004904	Maturity-onset diabetes of the young	907
HP:0009800	Maternal diabetes	964
HP:0100651	Type I diabetes mellitus	644
HP:0001953	Diabetic ketoacidosis	685
HP:0003144	Increased serum serotonin	994
HP:0009806	Nephrogenic diabetes insipidus	890
HP:0000863	Central diabetes insipidus	889
HP:0012030	Increased urinary cortisol level	998
HP:0032330	Increased urinary 11-deoxycorticosterone level	90
HP:0031218	Inappropriate antidiuretic hormone secretion	764
HP:0008226	Androgen insufficiency	971
HP:0000840	Adrenogenital syndrome	809
HP:0008187	Absence of secondary sex characteristics	330
HP:0002929	Leydig cell insensitivity to gonadotropin	17
HP:0008193	Primary gonadal insufficiency	950
HP:0000841	Hyperactive renin-angiotensin system	188
HP:0040085	Abnormal circulating aldosterone	142
HP:0010516	Thymus hyperplasia	761
HP:0010517	Ectopic thymus tissue	524
HP:0003357	Thymic hormone decreased	774
HP:0006528	Chronic lung disease	930
HP:0032933	Airway hyperresponsiveness	925
HP:0006520	Progressive pulmonary function impairment	997
HP:0002835	Aspiration	777
HP:0033036	Decreased nasal nitric oxide	302
HP:0200067	Recurrent spontaneous abortion	957
HP:0012188	Hyperemesis gravidarum	799
HP:0031456	Ectopic pregnancy	731
HP:0008072	Maternal virilization in pregnancy	149
HP:0012420	Meconium stained amniotic fluid	720
HP:0001562	Oligohydramnios	874
HP:0001563	Fetal polyuria	75
HP:0001561	Polyhydramnios	883
HP:0025700	Anhydramnios	162
HP:0032192	Hydatidiform mole	822
HP:0005100	Premature birth following premature rupture of fetal membranes	662
HP:0005267	Premature delivery because of cervical insufficiency or membrane fragility	964
HP:0012498	Nuchal cord	329
HP:0030369	Induced vaginal delivery	992
HP:0011412	Ventouse delivery	843
HP:0002483	Bulbar signs	953
HP:0003472	Hypocalcemic tetany	79
HP:0003388	Easy fatigability	274
HP:0001283	Bulbar palsy	530
HP:0030511	Bradyopsia	17
HP:0000613	Photophobia	840
HP:0030786	Photopsia	299
HP:0025152	Poor visual behavior for age	997
HP:0100576	Amaurosis fugax	488
HP:0012508	Metamorphopsia	585
HP:0012047	Hemeralopia	551
