phenotype1	phenotype2	lin
Ectropion of lower eyelids	Broad femoral head	9.964387059618607e-05
Congenital hypothyroidism	Intellectual disability, borderline	5.7106423138018275e-05
Pancreatic hypoplasia	Bladder exstrophy	0.1779570213001748
Absent external genitalia	Paroxysmal drowsiness	4.433252921306609e-05
Hypoplasia of proximal fibula	Eruptive vellus hair cyst	7.98654433909015e-05
Intimal thickening in the coronary arteries	Slow decrease in visual acuity	4.325406564155514e-05
Spinal arteriovenous malformation	Narrow nasal tip	9.093229424222477e-05
Propionyl-CoA carboxylase deficiency	Focal cortical dysplasia type I	4.1527089114850486e-05
Osteosarcoma	Protrusio acetabuli	0.12197575735204891
Broad skull	Benign gastrointestinal tract tumors	4.325406564155514e-05
Rickets of the lower limbs	Renal sodium wasting	4.1527089114850486e-05
Female infertility	Myofiber disarray	5.7580974223703494e-05
Clitoral hypertrophy	Bowel irritability	5.253471651082554e-05
Wide mouth	Diplopia	7.5297536753189e-05
Hyperactive renin-angiotensin system	Colon cancer	5.4544084512378e-05
Long second metacarpal	Difficulty descending stairs	0.059020155609242723
Adrenocortical carcinoma	Paranoia	4.897141782007609e-05
Basal ganglia calcification	Increased spinal bone density	0.2779907411089528
Thickened ribs	Sudanophilic leukodystrophy	4.754448578692532e-05
Generalized muscle hypertrophy	Congenital finger flexion contractures	0.21036893896103456
Bifid nasal tip	Choriocapillaris atrophy	5.200013425095543e-05
Polycystic kidney dysplasia	Projectile vomiting	5.651980813194554e-05
Decreased activity of NADPH oxidase	Jaw hyperreflexia	4.513091349926087e-05
Hyperkalemia	Malaise	4.832568870785544e-05
Hypogonadotropic hypogonadism	Persistent EBV viremia	6.138834380328786e-05
Severe T-cell immunodeficiency	Abnormal response to human chorionic gonadotrophin stimulation test	8.650813128311028e-05
Rapid neurologic deterioration	Protanomaly	3.993272169545075e-05
Right ventricular dilatation	Multiple mucosal neuromas	0.00010181308346727092
White eyebrow	Flank pain	4.6048912897620735e-05
Lack of spontaneous play	Decreased methionine synthase activity	5.232854831112207e-05
Degeneration of anterior horn cells	Neck flexor weakness	5.6407846595419884e-05
Rimmed vacuoles	Abnormality of amino acid metabolism	0.00013176105666314348
Thickened calvaria	Ocular hypertension	6.208099101179035e-05
Polyhydramnios	Potter facies	6.663240296894961e-05
Decreased serum complement C3	Nonprogressive visual loss	4.6048912897620735e-05
Congenital hypoplastic anemia	Posterior uveitis	4.325406564155514e-05
Multicystic kidney dysplasia	Decreased serum complement C3	5.671552329785147e-05
Pyropoikilocytosis	Pleural lymphangiectasia	4.1527089114850486e-05
Bifid nasal tip	Neuronal loss in the cerebral cortex	5.0522571453449456e-05
Elevated circulating follicle stimulating hormone level	Oromandibular dystonia	0.09431793410193853
Polyhydramnios	Portal fibrosis	7.067610146856365e-05
Recurrent myoglobinuria	Juvenile gastrointestinal polyposis	4.1527089114850486e-05
Oxycephaly	EEG with occipital slowing	4.577027209409902e-05
Abnormal rapid eye movement sleep	Biventricular hypertrophy	4.952414116553883e-05
Aqueductal stenosis	Panuveitis	4.717802693158188e-05
Dysgenesis of the cerebellar vermis	Freckles in sun-exposed areas	4.577027209409902e-05
Hemolytic-uremic syndrome	Aneurysmal bone cyst	0.00010875500214216927
Dry skin	Visual acuity no light perception	0.00016117455708270737
Motor deterioration	Decreased levels of alpha-fetoprotein	4.433252921306609e-05
Lacrimal duct stenosis	Impaired thrombin-induced platelet aggregation	4.654557084673223e-05
IgA deposition in the glomerulus	Cataplexy	5.08325315417379e-05
Lipemia retinalis	Subarachnoid hemorrhage	0.23861288999511676
Autoimmune thrombocytopenia	Supernumerary maxillary incisor	4.908842810983609e-05
Increased red cell osmotic resistance	Hyperpigmented papule	7.98654433909015e-05
Recurrent infections in infancy and early childhood	Malaligned carpal bone	4.1527089114850486e-05
Small earlobe	Onycholysis of distal fingernails	5.105075200522169e-05
Mandibular hyperostosis	Enlarged metacarpophalangeal joints	0.08898638214610302
Decreased plasma free carnitine	Cleft mandible	4.433252921306609e-05
Cerebellar hemangioblastoma	Hidrotic ectodermal dysplasia	4.2520165072717376e-05
Calvarial skull defect	Posterior plagiocephaly	0.3099639712996808
Cervical kyphosis	Hip pain	5.139110160925746e-05
Hypoplasia of the lacrimal punctum	Post-vaccination polio	4.1527089114850486e-05
Tritanomaly	Thyroid agenesis	4.717802693158188e-05
Neck joint contracture	Infection associated neutropenia	9.093229424222477e-05
Cystic renal dysplasia	Congenital adrenal hyperplasia	4.9202003447767416e-05
Diffuse telangiectasia	Unilateral vestibular schwannoma	4.325406564155514e-05
Social and occupational deterioration	Abnormal response to human chorionic gonadotrophin stimulation test	8.650813128311028e-05
Recurrent corneal erosions	Preaxial hand polydactyly	5.984151270098692e-05
Thick lower lip vermilion	Premature osteoarthritis	6.204679605914025e-05
Intervertebral disk calcification	Structural foot deformity	9.093229424222477e-05
Single umbilical artery	Sudden cardiac death	0.23052528541959408
Hyperkinetic movements	Prominence of the zygomatic bone	0.0001257947151053069
Decreased circulating ACTH level	Decreased activity of the pyruvate dehydrogenase complex	5.018735786356822e-05
Abnormal rapid eye movement sleep	Granulovacuolar degeneration	0.06951376501008816
Recurrent meningococcal disease	Iris transillumination defect	4.982193529809303e-05
Pleuritis	Increased proinsulin:insulin ratio	4.475678658742209e-05
Broad philtrum	Hepatocellular necrosis	5.4134178713156775e-05
Episodic generalized hypotonia	Mongolian blue spot	4.1527089114850486e-05
Pulmonary valve defects	Suicidal ideation	4.2520165072717376e-05
Jejunal atresia	Distal tapering femur	4.577027209409902e-05
Giant somatosensory evoked potentials	Iliac artery aneurysm	4.325406564155514e-05
Gingival hyperkeratosis	Temporal lobe calcification	4.1527089114850486e-05
Quadriceps muscle weakness	Decreased numbers of nephrons	4.63062709617351e-05
Broad femoral head	Recurrent shingles	7.98654433909015e-05
Absent lacrimal punctum	Giant somatosensory evoked potentials	4.846394887683536e-05
Diabetic ketoacidosis	Impaired collagen-induced platelet aggregation	5.258480685017681e-05
Bruxism	Oocyte arrest at metaphase I	5.27797715776623e-05
Decreased circulating ACTH level	Mild microcephaly	5.018735786356822e-05
Polycystic liver disease	Median cleft lip and palate	4.897141782007609e-05
Hypermagnesemia	Abnormality of bone marrow stromal cells	9.435605386316377e-05
C1-C2 subluxation	Precocious puberty in females	4.384100649655963e-05
Synovial hypertrophy	Ovarian fibroma	4.1527089114850486e-05
Hyperkalemic metabolic acidosis	Fiber type grouping	4.475678658742209e-05
Autonomic erectile dysfunction	Subpulmonary stenosis	3.993272169545075e-05
