phenotype1	phenotype2	lin	cos
Neonatal cholestatic liver disease	Intrinsic hand muscle atrophy	4.63062709617351e-05	0.25036022
Hypoplasia of the lacrimal punctum	Cervical lymphadenopathy	4.676934355271362e-05	0.2624088
Numerous nevi	Mutism	5.535724358328559e-05	0.24641678
Secondary hyperparathyroidism	Tonic status epilepticus	4.1527089114850486e-05	0.14391276
Epiphyseal dysplasia	Hemifacial hypoplasia	5.460915002756529e-05	0.4771825
Diplopia	Perioral erythema	5.420496616525175e-05	0.22789443
Mitral regurgitation	Clinodactyly of the thumb	5.282722589173774e-05	0.13095984
Anal canal squamous carcinoma	Reticular retinal dystrophy	3.993272169545075e-05	0.12258365
Diffuse reticular or finely nodular infiltrations	Mobitz I atrioventricular block	8.650813128311028e-05	0.1678501
Calvarial skull defect	Limited mobility of proximal interphalangeal joint	0.099736365211331	0.05693204
Linear hyperpigmentation	Valvular pulmonary stenosis	4.1527089114850486e-05	0.11869647
Preaxial hand polydactyly	Necrotizing enterocolitis	5.512990542636853e-05	0.07779473
Hurthle cell thyroid adenoma	Bilateral vocal cord paresis	3.993272169545075e-05	0.17308123
Secretory IgA deficiency	Abnormality of permanent molar morphology	4.982193529809303e-05	0.18980493
Retrocerebellar cyst	Sparse facial hair	4.63062709617351e-05	0.11688847
Arrhinencephaly	Antegonial notching of mandible	4.754448578692532e-05	0.33944547
Orthostatic hypotension due to autonomic dysfunction	Vertebral artery aneurysm	0.1395440506757518	0.35472357
Hyperuricosuria	Decreased beta-galactosidase activity	0.1686220129169174	0.07787005
Congenital finger flexion contractures	Sclerosing cholangitis	4.859730955435237e-05	0.16992499
Anal atresia	Prolonged QTc interval	6.904890519168298e-05	0.016358132
Endocardial fibroelastosis	Unilateral lung agenesis	4.63062709617351e-05	0.20577472
Elevated right atrial pressure	Lung adenocarcinoma	4.325406564155514e-05	0.25509202
Mild intrauterine growth retardation	Bronchiolitis obliterans	4.325406564155514e-05	0.17046192
Male hypogonadism	Spinal hemangioblastoma	4.63062709617351e-05	0.16485025
Nonprogressive cerebellar ataxia	Hypoplasia of facial musculature	4.2520165072717376e-05	0.17822757
Impaired vibration sensation at ankles	Cleft mandible	4.717802693158188e-05	0.09970746
Elevated mean arterial pressure	Blue cone monochromacy	3.993272169545075e-05	0.14267823
Calvarial skull defect	Retrocollis	0.1107708618149042	0.13946179
Long nose	Congenital hemolytic anemia	4.9312355433677e-05	0.16975011
Peters anomaly	Factor X activation deficiency	4.787715215794353e-05	0.18774909
Impaired ocular adduction	Increased hepatocellular lipid droplets	4.513091349926087e-05	0.22882386
Abnormal speech discrimination	Microdontia of primary teeth	4.63062709617351e-05	0.287036
Olivopontocerebellar hypoplasia	Granular corneal dystrophy	4.2520165072717376e-05	0.3234898
Bone-marrow foam cells	Medullary nephrocalcinosis	5.18262354732069e-05	0.2268776
Brain stem compression	Bilateral postaxial polydactyly	4.325406564155514e-05	0.102945626
Eyelid apraxia	Myocardial calcification	4.384100649655963e-05	0.008283019
Medial rotation of the medial malleolus	Recurrent pancreatitis	4.384100649655963e-05	0.048629064
Granulovacuolar degeneration	Upper limb spasticity	0.0786941837727827	0.14461182
Severe periodontitis	Perianal abscess	0.3158404850749376	0.31219232
Diffuse reticular or finely nodular infiltrations	Right hemiplegia	4.1527089114850486e-05	0.094827704
Generalized muscle hypertrophy	Valgus hand deformity	4.2520165072717376e-05	0.24836981
Foot dorsiflexor weakness	EEG with central focal spikes	5.232854831112207e-05	0.028017228
Partial fusion of carpals	Labial melanotic macule	3.993272169545075e-05	0.10960787
Pseudohypoparathyroidism	Patchy atrophy of the retinal pigment epithelium	9.964387059618608e-05	0.26689786
Enlargement of the ankles	Generalized anhidrosis	4.433252921306609e-05	0.25241593
Absence of lymph node germinal center	Brachial plexus neuropathy	4.384100649655963e-05	0.20477332
Helicobacter pylori infection	Colpocephaly	4.982193529809303e-05	0.18407363
Agitation	C2-C3 subluxation	4.9312355433677e-05	0.23959981
Absent scrotum	Delayed fine motor development	5.356672514246741e-05	0.13767268
Frontal lobe dementia	Tonic pupil	4.697961363490384e-05	0.10357311
Iritis	Aplasia cutis congenita on trunk or limbs	4.63062709617351e-05	0.14175788
Semilobar holoprosencephaly	Decreased serum bicarbonate concentration	4.787715215794353e-05	0.2414332
Papilledema	Rosenthal fibers	0.0001102014917067	0.128114
Short upper lip	Trichorrhexis nodosa	5.232854831112207e-05	0.17952439
Thick eyebrow	Absent lacrimal punctum	0.3138697479458862	0.16042784
Decreased methionine synthase activity	Atrial situs inversus	4.433252921306609e-05	0.2223885
Heparan sulfate excretion in urine	Atypical neurofibromatosis	0.0001055595431553	0.19044062
Fixed elbow flexion	Herpes simplex encephalitis	4.546614712111239e-05	0.15728052
Multiple prenatal fractures	Acute hepatic steatosis	4.654557084673223e-05	0.17256321
Facial grimacing	Congenital muscular dystrophy	5.430922724826214e-05	0.14473751
Axonal loss	Trichodiscoma	4.7365940235228194e-05	0.12294913
Large for gestational age	Bridged sella turcica	5.17666923135561e-05	0.14148808
Renal hypophosphatemia	Mesenteric venous thrombosis	3.993272169545075e-05	0.23040342
Spastic diplegia	Bronchiectasis	7.336323313143439e-05	0.20586418
Impaired mastication	Left ventricular diastolic dysfunction	4.952414116553883e-05	0.2411344
Hypocalciuria	Type B brachydactyly	4.846394887683536e-05	0.21403375
Epididymitis	Breast aplasia	4.7877152157943535e-05	0.073259175
Neuronal loss in central nervous system	Skin erosion	5.447813650210293e-05	0.24728778
Severe intrauterine growth retardation	Decreased intestinal transit time	4.513091349926087e-05	0.38550934
Increased facial adipose tissue	Hereditary nonpolyposis colorectal carcinoma	4.754448578692532e-05	0.12841052
Multiple skeletal anomalies	Peripheral tractional retinal detachment	3.993272169545075e-05	0.10413818
Recurrent candida infections	Emotional blunting	4.325406564155514e-05	0.049959727
Gonadal calcification	Livedo racemosa	8.650813128311028e-05	0.06336817
Decreased size of nerve terminals	Weak grip	4.2520165072717376e-05	0.28417885
Alzheimer disease	Recurrent pyelonephritis	0.0001055595431553	0.06797652
Enlarged polycystic ovaries	Stiff neck	4.2520165072717376e-05	0.15008062
Aortic tortuosity	Large knee	4.384100649655963e-05	0.17338347
Coronary artery dissection	Progressive distal muscular atrophy	4.325406564155514e-05	0.38475546
Clumsiness	Pseudohypoaldosteronism	5.702647158599869e-05	0.044658244
Generalized arterial calcification	Laryngeal hypoplasia	4.475678658742209e-05	0.12544318
Cerebral artery atherosclerosis	Angular cheilitis	4.325406564155514e-05	0.21810547
Retinal arteriolar tortuosity	Peripheral pulmonary artery stenosis	0.3615760278615709	0.39265418
Long clavicles	Long uvula	0.0001115665328139	0.35506895
Tricuspid valve prolapse	Basilar invagination	4.433252921306609e-05	0.2654584
Bilateral radial aplasia	Retinal calcification	0.0903310147607085	0.18754652
Hypertelorism	Mixed respiratory and metabolic acidosis	6.246179499255648e-05	0.23747358
Corneal arcus	Progressive gait ataxia	5.164509580017892e-05	0.21872652
Progressive vitiligo	Anterior wedging of T12	4.1527089114850486e-05	0.19110313
Hypocalcemic seizures	Vagal paraganglioma	0.0726086080642295	0.21589153
Cryptophthalmos	Brainstem dysplasia	4.846394887683536e-05	0.2777554
Diplopia	Periodic hyperkalemic paralysis	5.151997576365433e-05	0.27787057
Otosclerosis	Unconjugated hyperbilirubinemia	5.391529164214543e-05	0.08736578
Broad nasal tip	Chondrosarcoma	6.250187766851106e-05	0.25854257
Broad neck	Dilatation of the ductus arteriosus	5.08325315417379e-05	-0.01805093
Pyropoikilocytosis	Increased female libido	8.650813128311028e-05	0.06037593
Testicular dysgenesis	Vitamin B12 deficiency	4.803278487698834e-05	0.26074812
Prominent nasal tip	Small intestine carcinoid	4.717802693158188e-05	0.111369446
Iridocyclitis	Conjugated hyperbilirubinemia	5.164509580017892e-05	0.17741716
Sclerocornea	Spoken word recognition deficit	0.0001205101879826	0.13146162
Leber optic atrophy	Long fibula	4.63062709617351e-05	0.24720891
Narrow maxilla	Abnormal circulating aldosterone	4.2520165072717376e-05	-0.0173044
Communicating hydrocephalus	Dependency on parenteral nutrition	4.787715215794353e-05	0.31370282
Vacuolated lymphocytes	Aortopulmonary collateral arteries	5.060226372522096e-05	0.24535455
Sclerocornea	High iliac wing	4.803278487698834e-05	0.05267634
Acute necrotizing encephalopathy	Skin detachment	7.98654433909015e-05	0.2492469
Congenital blindness	Reduced circulating interleukin 10 concentration	4.433252921306609e-05	0.17298716
Hypoalbuminemia	Long fibula	5.702647158599869e-05	0.07526647
Posterior embryotoxon	Increased waist to hip ratio	4.8971417820076086e-05	0.04357426
Uterine prolapse	Pyropoikilocytosis	4.513091349926087e-05	0.30747283
Crystalline corneal dystrophy	Choroid plexus carcinoma	4.1527089114850486e-05	0.41820994
Secundum atrial septal defect	Spastic tetraplegia	7.343085704398542e-05	0.212255
Large central visual field defect	Presyncope	9.435605386316376e-05	0.20082827
Vertebral compression fracture	Colpocephaly	5.925011956526519e-05	0.21971893
Antenatal intracerebral hemorrhage	Elevated plasma pyrophosphate	4.1527089114850486e-05	0.09697937
Septic arthritis	Glomus tympanicum paraganglioma	4.63062709617351e-05	0.06859209
White forelock	Recurrent thromboembolism	4.717802693158188e-05	0.0680753
Abnormal vertebral segmentation and fusion	Reduced antral follicle count	4.325406564155514e-05	0.2171444
Adducted thumb	4-layered lissencephaly	5.097926599079281e-05	0.12924185
Alzheimer disease	Renal hypophosphatemia	4.546614712111239e-05	0.08194177
Posterior polar cataract	Osteosclerosis of the base of the skull	4.717802693158188e-05	0.18157516
Absent lacrimal punctum	Absent vas deferens	4.754448578692532e-05	0.37292826
Elevated circulating growth hormone concentration	Maternal teratogenic exposure	0.0001037699496293	0.22997665
Drooling	Dupuytren contracture	5.716561570063484e-05	0.18252605
Angulated humerus	Upper eyelid edema	4.2520165072717376e-05	0.27377972
Migraine with aura	Recurrent subcortical infarcts	0.0767875799324415	0.22606426
Schistocytosis	Decreased serum leptin	5.018735786356822e-05	0.13513401
Benign gastrointestinal tract tumors	Cicatricial ectropion	3.993272169545075e-05	0.17513496
Recurrent bacterial meningitis	Pancreatic fibrosis	4.5130913499260864e-05	0.05612611
Hyperprolinemia	Dysgenesis of the thalamus	0.0001072135125263	0.1739313
Curly hair	Cogwheel rigidity	6.024366357721661e-05	0.20665896
Pituitary resistance to thyroid hormone	Elevated brain lactate level by MRS	0.184214217117872	0.100358814
Hypoplastic spleen	Blind-spot enlargment	4.513091349926087e-05	0.15618263
Depressed nasal bridge	Enamel agenesis	0.1702969528303068	0.088590756
Thickened ribs	Thyrotoxicosis with toxic multinodular goiter	9.964387059618608e-05	0.24592355
Wide anterior fontanel	Lymph node hypoplasia	5.686289423158692e-05	0.027033843
Laryngeal web	Distal joint laxity	4.9202003447767416e-05	0.26638424
Phthisis bulbi	Micronodular cirrhosis	5.344453059754979e-05	0.1832054
Hidrotic ectodermal dysplasia	Hypoplasia of the olfactory bulb	4.546614712111239e-05	0.39340892
Coxa vara	Laryngeal stridor	5.568006858401273e-05	0.084612906
Ethmoidal encephalocele	Parietal cortical atrophy	0.1280539691574093	0.23305285
Weak cry	Barrett esophagus	5.447813650210293e-05	0.058682956
Caudate atrophy	Absent humerus	0.0001018130834672	0.2489509
Micronodular cirrhosis	Easy fatigability	6.068489923300508e-05	0.15402283
Medial deviation of the foot	Corneal pterygium	3.993272169545075e-05	0.19187002
Cervical kyphosis	Bowel irritability	4.717802693158188e-05	0.06164117
Muscle mounding	Mitochondrial respiratory chain defects	4.433252921306609e-05	0.11269396
Recurrent aspiration pneumonia	Fixed elbow flexion	4.577027209409902e-05	0.07820415
Orthostatic hypotension due to autonomic dysfunction	Distichiasis	4.754448578692532e-05	0.2503387
Unilateral chest hypoplasia	Premature loss of permanent teeth	4.384100649655963e-05	0.14040346
Increased cellular sensitivity to UV light	Neuronal loss in basal ganglia	4.846394887683536e-05	0.06571878
Blue irides	Graves disease	4.859730955435236e-05	0.035725057
Obstructive sleep apnea	Lobar holoprosencephaly	0.0850487152443965	0.30206776
Decreased methylcobalamin	Reduced platelet dense granules	4.676934355271362e-05	0.24978147
Mixed demyelinating and axonal polyneuropathy	Prosopagnosia	0.0779039930382463	0.2037372
Genu recurvatum	Urogenital sinus anomaly	5.216739542997225e-05	0.32194495
Severe short stature	Recurrent mandibular subluxations	5.301223762921065e-05	0.11927007
Posterior vitreous detachment	6 metacarpals	4.433252921306609e-05	0.042832237
Block vertebrae	Inferior oblique muscle overaction	4.475678658742209e-05	0.10151455
Calcification of falx cerebri	Ventricular couplet	4.325406564155514e-05	0.27385148
Hypoplasia of the thymus	Male infertility	6.534541999740876e-05	0.17350048
Abnormal amplitude of pattern reversal visual evoked potentials	Absent gallbladder	4.717802693158188e-05	0.13164994
Mastoiditis	Interphalangeal joint erosions	0.1019948240583012	0.16251329
Tritanomaly	Craniofacial asymmetry	4.846394887683536e-05	0.1776014
Intestinal lymphangiectasia	Neonatal cholestatic liver disease	0.1493977568881855	0.36629173
Acute rhabdomyolysis	Hyperplasia of the maxilla	0.0709919664230673	0.14540845
Increased serum pyruvate	Decreased mitochondrial complex III activity in liver tissue	5.097926599079281e-05	0.20073879
Colon cancer	Long proximal phalanx of finger	4.803278487698834e-05	0.14016518
Nonimmune hydrops fetalis	EEG with polyspike wave complexes	5.821561274234579e-05	0.16590065
Intervertebral disk calcification	1-minute APGAR score of 1	4.2520165072717376e-05	-0.054903712
Pancreatic hyperplasia	Periventricular leukomalacia	4.818212141725109e-05	0.30869448
Recurrent intrapulmonary hemorrhage	Migrating focal seizure	4.1527089114850486e-05	0.12501709
Iridocyclitis	Deja vu aura	4.546614712111239e-05	0.08597668
Recurrent Klebsiella infections	Thoracic hemivertebrae	4.859730955435237e-05	-0.00297644
Broad ulna	Midline liver	3.993272169545075e-05	0.16339944
Large tarsal bones	Decreased adiponectin level	3.993272169545075e-05	0.061550073
Decreased cranial base ossification	Increased corneal thickness	4.1527089114850486e-05	0.084813796
Abnormal vertebral segmentation and fusion	Otitis externa	4.433252921306609e-05	0.06462135
Lower thoracic kyphosis	Periodic hyperkalemic paralysis	4.1527089114850486e-05	0.2391021
Progressive external ophthalmoplegia	Thin skin	6.44928282051658e-05	0.17573248
Hematemesis	Abnormal rapid eye movement sleep	4.803278487698834e-05	0.015879497
Pseudopapilledema	Amyoplasia	4.63062709617351e-05	0.352909
Increased serum beta-hexosaminidase	Bilateral microphthalmos	4.952414116553883e-05	0.14391404
Rieger anomaly	Hypoplasia of the capital femoral epiphysis	5.4830288020923946e-05	0.25992873
Secondary growth hormone deficiency	Ocular flutter	8.650813128311028e-05	0.09320026
Delayed eruption of primary teeth	Progressive gait ataxia	5.132517819247823e-05	0.17035344
Shoulder girdle muscle atrophy	Progressive language deterioration	4.846394887683536e-05	0.12450342
Pulmonary hypoplasia	Paroxysmal drowsiness	5.665108805545815e-05	0.36005998
Erysipelas	Synostosis of carpal bones	4.754448578692532e-05	0.10749735
Large iliac wing	Generalized lipodystrophy	0.0661500743451767	0.16851035
Prominent sternum	Frontotemporal cerebral atrophy	5.132517819247823e-05	0.09930323
Small placenta	Progressive night blindness	4.433252921306609e-05	0.1456011
Thyroid follicular hyperplasia	Hypoplasia of the ear cartilage	3.993272169545075e-05	0.18854132
Transient ischemic attack	Olivopontocerebellar atrophy	0.179812548743326	0.26102057
Bilateral microphthalmos	Enlarged polycystic ovaries	4.6048912897620735e-05	0.23315097
Reduced antithrombin III activity	Agenesis of the diaphragm	4.952414116553883e-05	0.13927777
Pleuritis	Small cervical vertebral bodies	4.676934355271362e-05	0.11299883
Elevated circulating creatinine concentration	Posterior pituitary agenesis	0.0001310666829995	0.06815966
Oral ulcer	Poliosis	5.18262354732069e-05	0.07370259
Pulmonary arterial medial hypertrophy	Lip fissure	8.650813128311028e-05	0.16983978
Microretrognathia	Coronary artery dissection	5.4134178713156775e-05	0.052641008
Intermittent thrombocytopenia	Prominence of the zygomatic bone	9.719461910870474e-05	0.108737186
Pseudopapilledema	Cervix cancer	9.435605386316376e-05	0.028819183
Decreased plasma free carnitine	Intramuscular hematoma	4.433252921306609e-05	0.103707045
Full cheeks	Cow milk allergy	5.554805395325241e-05	0.14457065
Obstructive sleep apnea	Craniofacial asymmetry	5.4239971789166777e-05	0.33901906
Episodic paroxysmal anxiety	Mild malformation of cortical development	0.1425825741500714	0.13873151
Exostosis of the external auditory canal	Increased intramuscular fat	0.0628443705455809	0.049973093
Hypermethioninemia	Sclerosing cholangitis	5.018735786356822e-05	0.07922421
Hypothalamic gonadotropin-releasing hormone deficiency	Talipes valgus	4.846394887683536e-05	0.15484679
Eyelid apraxia	Burkitt lymphoma	4.697961363490384e-05	0.1096933
Muscle fiber splitting	Rectal atresia	5.105075200522169e-05	0.019350087
Corneal arcus	Metaphyseal chondrodysplasia	5.434348495495777e-05	0.1880022
Increased hepatic glycogen content	Tonic pupil	4.803278487698834e-05	0.12794134
Pulmonary arterial medial hypertrophy	Unilateral breast hypoplasia	4.433252921306609e-05	0.2640981
Pancreatic pseudocyst	Upper limb postural tremor	4.2520165072717376e-05	0.13943642
Large forehead	Sulfite oxidase deficiency	5.145602326461534e-05	0.096076176
Platybasia	Stereotypical body rocking	4.846394887683536e-05	0.22543614
Narrow maxilla	Medial calcification of large arteries	0.0887983499780276	0.06173747
Tricuspid regurgitation	Elevated circulating creatine concentration	5.068044793030368e-05	0.123251624
Centrocecal scotoma	Hypoplasia of the premaxilla	4.433252921306609e-05	0.15640536
Bruxism	Choroid plexus calcification	0.0845396141431485	0.11774737
Poor appetite	Small proximal tibial epiphyses	4.546614712111239e-05	0.15981087
Polycystic kidney dysplasia	Type 2 muscle fiber predominance	5.733939378080981e-05	0.19517963
Renal steatosis	Ascending aorta hypoplasia	4.325406564155514e-05	0.2915051
Small cervical vertebral bodies	Embryonal rhabdomyosarcoma	0.0655230262705719	0.26669297
Metaphyseal chondrodysplasia	Narrow internal auditory canal	0.0001072135125263	0.1866705
Prominent nasal bridge	Increased serum pyruvate	7.249555517294099e-05	0.044556834
Accumulation of melanosomes in melanocytes	Brisk reflexes	5.667265383428734e-05	0.04029535
Cutaneous leiomyosarcoma	Chiari type I malformation	5.1884974814677736e-05	0.2779417
Intrahepatic biliary dysgenesis	Aplasia of the nasal bone	4.546614712111239e-05	0.21008983
Aortic arch calcification	Ectropion of lower eyelids	4.433252921306609e-05	0.08028694
Glomus jugular tumor	Platelet-activating factor acetylhydrolase deficiency	4.325406564155514e-05	-0.00848906
Facial hypotonia	Congenital laryngeal stridor	5.3801943908288434e-05	0.42483014
Shallow orbits	Iron accumulation in substantia nigra	4.859730955435236e-05	0.13131332
Inverted nipples	Oligoarthritis	5.5653938930398895e-05	0.05132241
Long clavicles	Intraretinal exudate	4.654557084673223e-05	0.12532541
Dysplastic patella	Lingual dystonia	4.325406564155514e-05	0.31697053
Red hair	Progressive conductive hearing impairment	4.433252921306609e-05	0.09791273
Thin skin	Poor head control	7.318590416559683e-05	0.15150496
Orthostatic hypotension due to autonomic dysfunction	Congenital knee dislocation	4.1527089114850486e-05	0.2691347
Portal fibrosis	Cavernous hemangioma of the face	4.8726132196001617e-05	0.20302865
Platelet antibody positive	Insulin receptor antibody positivity	1.0	0.37054265
Lobar holoprosencephaly	Recurrent cutaneous abscess formation	4.63062709617351e-05	0.09197917
Elevated maternal serum alpha-fetoprotein	Increased red cell hemolysis by shear stress	4.1527089114850486e-05	0.33363536
Thoracolumbar kyphoscoliosis	Malignant eosinophil proliferation	4.384100649655963e-05	0.24300489
Increased alpha-globulin	Delayed thelarche	4.1527089114850486e-05	0.019357335
Severe periodontitis	Rapid neurologic deterioration	4.2520165072717376e-05	0.2696389
Progressive cerebellar ataxia	Limited neck flexion	5.097926599079281e-05	0.29389182
Gastric ulcer	Chylothorax	4.972512993112043e-05	0.22645132
Flattened femoral head	Dislocation of the femoral head	0.5791906759598918	0.71742266
Prominent nasal tip	Impaired collagen-induced platelet aggregation	5.595899601954029e-05	0.021629952
Blue cone monochromacy	Old-aged sensorineural hearing impairment	3.993272169545075e-05	0.13789612
Cerebral degeneration	Large iliac wing	4.2520165072717376e-05	-0.021055697
Congenital fibrosis of extraocular muscles	Aborted sudden cardiac death	4.897141782007609e-05	0.08548944
Chronic otitis media	Right ventricular outlet tract obstruction	5.018735786356822e-05	0.24870996
Micronodular cirrhosis	Enlarged labia minora	4.982193529809303e-05	0.22157148
Leukocoria	Increased circulating ferritin concentration	5.730125608793351e-05	0.16239288
Renal angiomyolipoma	Severe toxoplasmosis	9.719461910870474e-05	0.06552098
Fatal liver failure in infancy	Peroneal muscle atrophy	4.433252921306609e-05	0.14857388
Epispadias	Internal carotid artery hypoplasia	4.577027209409902e-05	0.16670032
Anorexia	Congenital conductive hearing impairment	4.818212141725109e-05	0.11176561
Internal ophthalmoplegia	Median cleft lip and palate	4.475678658742209e-05	0.12669894
Ureteral atresia	Dilatation of renal calices	0.2568311128082803	0.42601585
Inflexible adherence to routines or rituals	Hand tremor	0.1086811811527311	0.17195624
Severe failure to thrive	Spinal rigidity	5.498236436259655e-05	0.19834179
Permanent atrial fibrillation	Poor gross motor coordination	4.9202003447767416e-05	0.063620284
Hydronephrosis	Reduced prothrombin antigen	5.510074585337536e-05	0.2978005
Epispadias	Periapical bone loss	4.577027209409902e-05	0.02759635
Ulnar bowing	Negativism	4.787715215794353e-05	0.10495641
Bicornuate uterus	Renal hypophosphatemia	4.908842810983609e-05	0.089728594
Nephronophthisis	Epidermal hyperkeratosis	5.662943385988448e-05	0.2301618
Wrist swelling	Pancreatic fibrosis	4.717802693158188e-05	0.0678809
Polyarticular arthritis	Fatty replacement of skeletal muscle	0.0808066666267367	0.21441612
Neck flexor weakness	Symmetrical progressive peripheral demyelination	4.697961363490384e-05	0.34983945
Decreased methionine synthase activity	Optic nerve compression	4.846394887683536e-05	0.19219074
Hypoplasia of the primary teeth	Recurrent viral upper respiratory tract infections	0.1203577572002638	0.050603807
Hypochloremia	Abnormal location of the eyebrow	9.964387059618608e-05	0.13210055
Reticular retinal dystrophy	Oropharyngeal squamous cell carcinoma	4.1527089114850486e-05	0.11326113
Short humerus	Ectopic ossification in tendon tissue	0.1105867573575035	0.14133182
High iliac wing	Reduced alpha/beta synthesis ratio	4.325406564155514e-05	0.1605308
Anal canal squamous carcinoma	Chronic hepatic failure	0.2721588542091836	0.15340495
Premature delivery because of cervical insufficiency or membrane fragility	Linear nevus sebaceous	4.1527089114850486e-05	0.070945874
Semilobar holoprosencephaly	Glenoid fossa hypoplasia	4.9202003447767416e-05	0.3912032
Budd-Chiari syndrome	Nemaline bodies	5.145602326461534e-05	0.05665684
Mild postnatal growth retardation	Caudate atrophy	5.035839919835104e-05	0.26628107
Aplasia of the thymus	Cerebellar edema	4.433252921306609e-05	0.21211562
Hypoplasia of the pyramidal tract	Gastric lymphoma	3.993272169545075e-05	0.18705833
Limited elbow extension and supination	Progressive distal muscular atrophy	0.0639290681052629	0.46954703
Hyperkinetic movements	Lack of T cell function	4.885073886735671e-05	0.09017404
Recurrent E. coli infections	Mild intrauterine growth retardation	4.513091349926087e-05	0.06436697
Supernumerary maxillary incisor	Simplified gyral pattern	5.1884974814677736e-05	0.24913707
Long second metacarpal	Peripheral retinal neovascularization	3.993272169545075e-05	0.109762244
Fragile nails	Femoral retroversion	5.232854831112207e-05	0.1876802
Alveolar process hypoplasia	Triangular tongue	0.1583296199842128	0.11814396
Malaligned carpal bone	Optic atrophy from cranial nerve compression	3.993272169545075e-05	0.32444853
Acanthocytosis	Ulnar deviation of the wrist	5.498236436259655e-05	0.07917875
Atypical absence seizure	Uncontrolled eye movements	4.697961363490384e-05	0.24053632
Agenesis of cerebellar vermis	Seborrheic keratosis	5.000878978756325e-05	0.214936
Impaired convergence	Prostate cancer	4.676934355271362e-05	0.11741766
Hashimoto thyroiditis	Polymorphic ventricular tachycardia	5.08325315417379e-05	0.26468614
Dysostosis multiplex	Transient nephrotic syndrome	4.832568870785544e-05	0.20174268
Focal segmental glomerulosclerosis	Choroid hemorrhage	0.000141496949933	0.29531693
Umbilical hernia	Preauricular pit	7.747438478495849e-05	0.14087571
Hypoplasia of the thymus	Membranous nephropathy	0.2226077645649916	0.19142035
Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines	Suck reflex	3.993272169545075e-05	0.049068496
Nephropathy	Reduced muscle fiber merosin	0.0001232614824682	0.27690554
Forearm reduction defects	Partial atrioventricular canal defect	4.325406564155514e-05	0.20694065
Increased red cell osmotic resistance	Moderate postnatal growth retardation	3.993272169545075e-05	0.26646167
Small for gestational age	Recurrent singultus	5.568006858401273e-05	-0.006082769
Horizontal supranuclear gaze palsy	Increased intramuscular fat	4.325406564155514e-05	0.017361239
Microglossia	Short fifth metatarsal	5.296668428055062e-05	0.28975976
Sinus bradycardia	Cytochrome C oxidase-negative muscle fibers	6.055584704594078e-05	0.20579408
Episodic flaccid weakness	Methylmalonic aciduria	5.060226372522096e-05	0.28680503
Multiple digital exostoses	Inappropriately normal thyroid-stimulating hormone level	4.2520165072717376e-05	0.08377105
Warfarin-induced skin necrosis	Aortic root aneurysm	5.125821869171633e-05	0.20229146
Incomprehensible speech	Dupuytren contracture	4.433252921306609e-05	0.081505656
Nonspherocytic hemolytic anemia	Anterior atlanto-occipital dislocation	4.475678658742209e-05	0.2717885
Aldehyde oxidase deficiency	Generalized muscle weakness	5.035839919835104e-05	0.1645768
Nonarteritic anterior ischemic optic neuropathy	Low serum calcitriol	4.325406564155514e-05	0.14531475
Dysfunctional alternative complement pathway	Alveolar cell carcinoma	4.1527089114850486e-05	0.2866106
